,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,raiders,24,19,26,34,279,3,0,0,0,8.2,8.2,76.5,129.4,31,76,2.5,0,1,2,6,14,0,1,32:32,1,1-0,18,,18,320,256,64,3.0,6.3,2.73,-1.95,chargers
1,2,Thu,September 15,away,chiefs,24,27,33,48,326,3,1,2,8,7.0,6.5,68.8,99.8,24,75,3.1,0,1,1,5,16,4,4,33:37,2,1-1,21,1.0,15,319,226,93,,4.12,-5.54,-3.72,chargers
2,3,Sun,September 25,home,jaguars,10,38,25,45,286,1,1,1,11,6.6,6.2,55.6,73.0,12,26,2.2,0,1,1,5,13,0,2,21:33,3,1-2,16,2.0,25,413,262,151,,-10.35,-18.06,2.6,chargers
3,4,Sun,October 2,away,texans,34,24,27,39,338,2,0,1,2,8.7,8.5,69.2,113.0,27,81,3.0,2,2,2,8,16,1,2,31:39,4,2-2,22,1.0,16,346,215,131,2.0,15.96,-2.14,-4.62,chargers
4,5,Sun,October 9,away,browns,30,28,22,34,227,1,0,1,1,6.7,6.5,64.7,93.6,34,238,7.0,2,3,3,3,10,0,2,29:58,5,3-2,26,,27,443,230,213,1.0,16.01,-16.53,4.92,chargers
5,6,Mon,October 17,home,broncos,19,16,37,57,224,0,1,2,14,4.2,3.8,64.9,65.2,24,73,3.0,1,4,4,11,22,1,3,38:49,6,4-2,24,1.0,13,258,160,98,1.0,-1.03,3.11,0.92,chargers
6,7,Sun,October 23,home,seahawks,23,37,33,51,276,2,1,3,17,5.7,5.1,64.7,83.5,15,53,3.5,1,0,0,5,15,1,3,26:03,7,4-3,21,2.0,24,404,191,213,2.0,-4.6,-12.13,1.1,chargers
7,9,Sun,November 6,away,falcons,20,17,30,43,245,1,1,0,0,5.7,5.7,69.8,82.0,24,91,3.8,1,2,2,8,16,1,1,28:11,9,5-3,19,2.0,19,315,114,201,2.0,5.12,-1.74,-0.66,chargers
8,10,Sun,November 13,away,49ers,16,22,21,37,187,1,1,3,9,5.3,4.7,56.8,68.2,16,51,3.2,0,3,3,6,16,0,1,23:01,10,5-4,12,1.0,22,387,230,157,1.0,-7.29,-6.2,5.38,chargers
9,11,Sun,November 20,home,chiefs,27,30,23,30,250,2,1,5,30,9.3,7.1,76.7,109.0,30,115,3.8,1,2,2,8,14,0,0,32:19,11,5-5,22,2.0,23,485,322,163,1.0,8.61,-19.64,2.61,chargers
10,12,Sun,November 27,away,cardinals,25,24,35,47,246,3,0,4,28,5.8,4.8,74.5,107.2,13,65,5.0,0,1,1,6,13,0,0,29:25,12,6-5,22,,20,366,185,181,2.0,6.53,-7.69,1.25,chargers
11,13,Sun,December 4,away,raiders,20,27,28,47,314,1,0,5,21,7.1,6.0,59.6,86.7,22,72,3.3,0,2,3,5,16,3,5,30:44,13,6-6,22,1.0,21,404,250,154,2.0,0.15,-5.34,1.56,chargers
12,14,Sun,December 11,home,dolphins,23,17,39,51,350,1,0,4,17,7.2,6.4,76.5,100.9,23,82,3.6,1,3,3,9,18,1,2,39:38,14,7-6,24,,14,219,127,92,,9.39,-1.14,-1.98,chargers
13,15,Sun,December 18,home,titans,17,14,28,42,291,0,2,3,22,7.5,6.5,66.7,66.7,24,74,3.1,2,1,1,4,13,2,2,29:48,15,8-6,23,2.0,17,284,157,127,1.0,1.7,2.21,-1.72,chargers
14,16,Mon,December 26,away,colts,20,3,24,31,213,0,1,4,22,7.6,6.1,77.4,81.8,32,101,3.2,2,2,2,8,18,1,1,33:54,16,9-6,17,2.0,10,173,104,69,3.0,-2.36,22.57,-3.6,chargers
15,17,Sun,January 1,home,rams,31,10,24,31,239,2,0,0,0,7.7,7.7,77.4,120.2,31,192,6.2,2,1,1,8,13,0,0,31:52,17,10-6,22,,12,277,111,166,1.0,21.57,0.47,-0.25,chargers
16,18,Sun,January 8,away,broncos,28,31,30,44,293,3,0,1,5,6.8,6.5,68.2,109.4,22,59,2.7,0,2,2,7,14,0,0,28:57,18,10-7,21,2.0,22,471,266,205,2.0,2.63,-16.37,8.58,chargers
17,19,Sat,January 14,away,jaguars,30,31,25,43,253,1,0,3,20,6.3,5.5,58.1,82.8,23,67,2.9,2,3,4,8,17,0,0,32:39,19,10-8,18,,24,390,273,117,5.0,3.29,-3.13,-0.98,chargers
