,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,texans,20,20,32,50,340,1,1,2,12,7.0,6.5,64.0,82.1,38,177,4.7,1,2,3,6,15,0,1,39:37,1,0-0-1,33,2.0,20,299,222,77,1.0,5.67,2.14,-9.43,colts
1,2,Sun,September 18,away,jaguars,0,24,16,30,164,0,3,5,31,6.5,4.7,53.3,29.7,13,54,4.2,0,0,0,2,10,0,2,21:45,2,0-1-1,9,3.0,21,331,235,96,,-20.67,-7.05,3.43,colts
2,3,Sun,September 25,home,chiefs,20,17,27,37,177,2,0,5,45,6.0,4.2,73.0,100.8,27,82,3.0,0,2,2,6,15,1,3,33:32,3,1-1-1,19,1.0,20,315,257,58,2.0,-7.1,-1.78,13.31,colts
3,4,Sun,October 2,home,titans,17,24,27,37,327,2,1,3,29,9.6,8.2,73.0,106.5,23,38,1.7,0,1,2,7,13,0,0,33:57,4,1-2-1,21,3.0,19,243,116,127,,3.36,-5.33,-6.98,colts
4,5,Thu,October 6,away,broncos,12,9,26,41,200,0,2,6,51,6.1,4.3,63.4,54.9,26,106,4.1,0,4,4,4,16,0,0,34:48,5,2-2-1,19,2.0,18,375,250,125,2.0,-14.91,11.36,7.4,colts
5,6,Sun,October 16,home,jaguars,34,27,42,58,389,3,0,0,0,6.7,6.7,72.4,107.6,16,45,2.8,1,2,2,10,15,0,0,28:49,6,3-2-1,29,,25,379,136,243,1.0,21.98,-16.47,3.81,colts
6,7,Sun,October 23,away,titans,10,19,33,44,227,1,2,3,16,5.5,4.8,75.0,74.7,17,65,3.8,0,1,1,4,13,1,1,28:27,7,3-3-1,17,3.0,16,254,116,138,1.0,-12.48,4.47,-2.52,colts
7,8,Sun,October 30,home,commanders,16,17,17,23,189,0,0,2,12,8.7,7.6,73.9,97.9,29,135,4.7,1,3,3,5,12,0,0,29:20,8,3-4-1,15,2.0,20,362,266,96,1.0,-0.42,-2.38,2.42,colts
8,9,Sun,November 6,away,patriots,3,26,15,29,43,0,1,9,60,3.6,1.1,51.7,43.3,22,78,3.5,0,1,2,0,14,0,2,28:54,9,3-5-1,8,1.0,11,203,133,70,1.0,-31.93,9.55,1.05,colts
9,10,Sun,November 13,away,raiders,25,20,21,28,208,1,0,1,14,7.9,7.2,75.0,107.4,30,207,6.9,2,2,3,6,11,0,0,29:01,10,4-5-1,20,1.0,18,309,232,77,,10.87,0.17,-8.65,colts
10,11,Sun,November 20,home,eagles,16,17,23,32,185,0,0,4,28,6.7,5.1,71.9,86.1,26,99,3.8,1,3,4,5,15,0,1,30:38,11,4-6-1,14,1.0,18,314,173,141,2.0,-9.33,3.73,1.97,colts
11,12,Mon,November 28,home,steelers,17,24,22,34,180,1,1,3,19,5.9,4.9,64.7,75.6,25,110,4.4,1,1,2,3,12,2,3,25:38,12,4-7-1,19,2.0,22,323,151,172,,-3.22,-7.95,7.37,colts
12,13,Sun,December 4,away,cowboys,19,54,21,37,203,2,3,3,30,6.3,5.1,56.8,56.5,30,106,3.5,0,2,2,4,13,3,3,31:19,13,4-8-1,18,5.0,23,385,165,220,1.0,-16.86,-22.27,4.5,colts
13,15,Sat,December 17,away,vikings,36,39,19,33,170,1,0,3,12,5.5,4.7,57.6,81.6,43,171,4.0,0,5,5,6,19,0,1,36:37,15,4-9-1,20,1.0,32,518,426,92,3.0,-10.7,-4.19,12.83,colts
14,16,Mon,December 26,home,chargers,3,20,17,29,104,0,3,7,39,4.9,2.9,58.6,26.3,14,69,4.9,0,1,1,0,10,1,4,26:06,16,4-10-1,10,3.0,17,314,213,101,2.0,-22.57,2.36,3.6,colts
15,17,Sun,January 1,away,giants,10,38,17,27,124,1,1,2,17,5.2,4.3,63.0,70.6,27,128,4.7,0,1,2,3,12,2,2,28:24,17,4-11-1,14,1.0,26,394,177,217,1.0,-5.92,-17.59,-2.69,colts
16,18,Sun,January 8,home,texans,31,32,23,35,202,2,2,2,7,6.0,5.5,65.7,76.1,33,196,5.9,1,1,1,4,13,2,3,33:53,18,4-12-1,25,3.0,18,360,301,59,3.0,3.77,0.16,-3.89,colts
