,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,jaguars,28,22,27,41,305,4,2,1,8,7.6,7.3,65.9,100.2,28,85,3.0,0,0,0,7,10,0,0,33:33,1,1-0,26,3.0,24,383,260,123,1.0,9.54,-3.64,0.26,commanders
1,2,Sun,September 18,away,lions,27,36,30,46,308,3,1,5,29,7.3,6.0,65.2,97.0,21,88,4.2,1,0,0,7,15,1,2,32:03,2,1-1,21,1.0,17,425,234,191,,5.79,-7.13,-10.29,commanders
2,3,Sun,September 25,home,eagles,8,24,25,43,153,0,0,9,58,4.9,2.9,58.1,65.4,22,87,4.0,1,0,0,6,17,0,2,32:54,3,1-2,20,1.0,21,400,328,72,,-18.29,-9.65,8.92,commanders
3,4,Sun,October 2,away,cowboys,10,25,25,42,155,1,2,2,15,4.0,3.5,59.5,55.2,27,142,5.3,0,1,1,5,15,0,2,33:06,4,1-3,17,2.0,15,279,217,62,,-13.42,-4.19,3.3,commanders
4,5,Sun,October 9,home,titans,17,21,25,38,342,2,1,3,17,9.4,8.3,65.8,101.0,17,43,2.5,0,1,1,1,11,1,2,27:20,5,1-4,17,1.0,15,241,136,105,,1.03,-0.25,-3.63,commanders
5,6,Thu,October 13,away,bears,12,7,12,22,86,0,0,3,13,4.5,3.4,54.5,63.8,28,128,4.6,1,2,3,2,11,0,0,27:48,6,2-4,14,,20,391,154,237,2.0,-7.28,2.22,6.24,commanders
6,7,Sun,October 23,home,packers,23,21,20,33,198,2,1,1,3,6.1,5.8,60.6,85.2,38,166,4.4,0,3,4,7,16,0,0,37:07,7,3-4,22,1.0,16,232,194,38,1.0,0.7,-1.83,0.57,commanders
7,8,Sun,October 30,away,colts,17,16,23,31,266,1,1,2,13,9.0,8.1,74.2,97.0,28,96,3.4,1,1,1,2,12,2,3,30:40,8,4-4,20,1.0,15,324,189,135,2.0,2.38,0.42,-2.42,commanders
8,9,Sun,November 6,home,vikings,17,20,15,28,126,2,1,3,23,5.3,4.1,53.6,74.4,30,137,4.6,0,1,1,3,10,0,1,30:47,9,4-5,18,1.0,17,301,245,56,1.0,-1.76,2.12,-2.55,commanders
9,10,Mon,November 14,away,eagles,32,21,17,29,178,0,1,3,33,7.3,5.6,58.6,62.1,49,152,3.1,2,4,4,12,21,1,1,40:24,10,5-5,25,2.0,18,264,170,94,4.0,4.13,1.89,5.98,commanders
10,11,Sun,November 20,away,texans,23,10,15,27,191,0,0,0,0,7.1,7.1,55.6,77.9,40,153,3.8,1,3,3,3,13,2,2,34:56,11,6-5,20,,11,148,127,21,2.0,4.31,15.79,-2.12,commanders
11,12,Sun,November 27,home,falcons,19,13,14,23,138,2,1,0,0,6.0,6.0,60.9,88.7,37,176,4.8,0,2,2,5,12,1,1,33:09,12,7-5,20,1.0,18,332,165,167,1.0,3.96,-1.62,2.06,commanders
12,13,Sun,December 4,away,giants,20,20,27,41,246,2,0,5,29,6.7,5.3,65.9,98.2,36,165,4.6,0,2,3,3,14,1,1,41:11,13,7-5-1,25,1.0,20,316,182,134,1.0,2.87,2.71,-5.65,commanders
13,15,Sun,December 18,home,giants,12,20,17,29,228,1,0,3,21,8.6,7.1,58.6,95.2,26,159,6.1,0,2,2,1,10,1,2,29:30,15,7-6-1,20,2.0,19,288,160,128,,-3.08,-0.95,-2.25,commanders
14,16,Sat,December 24,away,49ers,20,37,25,34,270,3,1,2,19,8.5,7.5,73.5,113.6,33,79,2.4,0,0,0,7,13,0,2,33:35,16,7-7-1,21,2.0,14,371,218,153,1.0,-2.45,-9.41,-3.02,commanders
15,17,Sun,January 1,home,browns,10,24,16,28,124,0,3,3,19,5.1,4.0,57.1,28.6,37,136,3.7,1,1,1,7,16,2,4,33:32,17,7-8-1,17,3.0,16,301,155,146,,-7.5,-7.26,0.54,commanders
16,18,Sun,January 8,home,cowboys,26,6,11,19,158,1,1,3,11,8.9,7.2,57.9,80.6,41,151,3.7,1,2,4,3,14,0,0,36:12,18,8-8-1,16,1.0,10,182,118,64,2.0,-5.2,28.06,-4.66,commanders
