,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,buccaneers,3,19,21,42,173,0,1,4,25,4.7,3.8,50.0,51.0,18,71,3.9,0,1,1,3,15,2,5,27:18,1,0-1,12,1.0,18,347,195,152,1.0,-19.4,-0.55,2.24,cowboys
1,2,Sun,September 18,home,bengals,20,17,19,31,230,1,0,1,5,7.6,7.2,61.3,94.8,27,107,4.0,1,2,2,3,10,1,1,26:12,2,1-1,19,1.0,19,254,165,89,,6.08,-0.76,-1.25,cowboys
2,3,Mon,September 26,away,giants,23,16,21,31,215,1,0,0,0,6.9,6.9,67.7,98.2,30,176,5.9,1,3,4,5,13,1,1,32:42,3,2-1,23,,22,336,169,167,1.0,10.78,0.51,-0.01,cowboys
3,4,Sun,October 2,home,commanders,25,10,15,27,217,2,0,1,6,8.3,7.8,55.6,106.6,29,62,2.1,0,4,4,5,15,0,0,26:54,4,3-1,15,,17,297,155,142,2.0,4.19,13.42,-3.3,cowboys
4,5,Sun,October 9,away,rams,22,10,10,16,76,0,0,3,26,6.4,4.0,62.5,74.0,34,163,4.8,1,3,3,5,15,0,0,29:30,5,4-1,10,,14,323,285,38,3.0,-8.44,11.11,6.98,cowboys
5,6,Sun,October 16,away,eagles,17,26,18,38,181,1,3,0,0,4.8,4.8,47.4,37.3,26,134,5.2,1,1,2,4,10,0,1,25:30,6,4-2,21,3.0,22,268,132,136,,-0.04,-7.95,-3.76,cowboys
6,7,Sun,October 23,home,lions,24,6,19,25,191,1,0,2,16,8.3,7.1,76.0,110.6,32,139,4.3,2,1,1,3,9,0,0,28:46,7,5-2,21,1.0,18,312,195,117,5.0,4.39,12.68,1.61,cowboys
7,8,Sun,October 30,home,bears,49,29,21,27,242,2,1,1,8,9.3,8.6,77.8,113.3,29,200,6.9,4,0,0,9,11,0,0,23:56,8,6-2,24,1.0,22,371,131,240,1.0,26.47,-1.52,-3.05,cowboys
8,10,Sun,November 13,away,packers,28,31,27,46,262,3,2,2,3,5.8,5.5,58.7,78.4,31,159,5.1,1,0,0,5,15,2,3,30:59,10,6-3,24,2.0,20,415,208,207,2.0,2.81,-17.21,10.13,cowboys
9,11,Sun,November 20,away,vikings,40,3,26,30,307,2,0,0,0,10.2,10.2,86.7,131.5,40,151,3.8,2,4,4,12,17,0,0,37:24,11,7-3,23,,16,183,110,73,1.0,24.31,14.35,-0.94,cowboys
10,12,Thu,November 24,home,giants,28,20,21,30,261,2,2,0,0,8.7,8.7,70.0,91.1,39,169,4.3,2,0,1,7,11,0,1,34:09,12,8-3,26,2.0,21,300,210,90,,16.03,-0.13,-6.25,cowboys
11,13,Sun,December 4,home,colts,54,19,20,30,165,3,1,1,5,5.7,5.3,66.7,100.0,34,220,6.5,4,0,0,7,13,1,1,28:41,13,9-3,23,1.0,18,309,203,106,5.0,22.27,16.86,-4.5,cowboys
12,14,Sun,December 11,home,texans,27,23,24,39,277,1,2,1,7,7.3,6.9,61.5,70.1,31,127,4.1,2,2,2,8,15,1,2,26:46,14,10-3,21,3.0,16,327,213,114,2.0,1.61,8.28,-6.35,cowboys
13,15,Sun,December 18,away,jaguars,34,40,23,30,243,3,2,3,13,8.5,7.4,76.7,105.3,41,154,3.8,1,2,2,9,16,0,0,35:26,15,10-4,24,2.0,26,503,311,192,3.0,8.92,-16.24,-0.94,cowboys
14,16,Sat,December 24,home,eagles,40,34,27,35,304,3,1,6,43,9.9,7.4,77.1,119.2,31,115,3.7,1,4,4,8,15,1,1,32:18,16,11-4,25,1.0,25,442,355,87,4.0,12.39,-7.76,0.74,cowboys
15,17,Thu,December 29,away,titans,27,13,29,41,274,2,2,1,8,6.9,6.5,70.7,84.8,32,87,2.7,1,2,2,8,13,0,0,33:26,17,12-4,26,3.0,17,317,220,97,2.0,8.93,5.83,-1.28,cowboys
16,18,Sun,January 8,away,commanders,6,26,14,38,118,1,1,1,10,3.4,3.0,36.8,43.5,27,64,2.4,0,0,0,4,18,1,3,23:48,18,12-5,10,2.0,16,309,158,151,1.0,-28.06,5.2,4.66,cowboys
17,19,Mon,January 16,away,buccaneers,31,14,25,33,297,4,0,1,8,9.2,8.7,75.8,142.3,35,128,3.7,1,0,0,7,13,2,2,34:34,19,13-5,26,,24,386,334,52,1.0,25.18,2.0,-9.31,cowboys
