,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,patriots,20,7,23,33,242,1,0,3,28,8.2,6.7,69.7,100.8,23,65,2.8,0,2,2,6,14,1,1,32:30,1,1-0,18,,17,271,193,78,3.0,6.08,8.28,1.98,dolphins
1,2,Sun,September 18,away,ravens,42,38,36,50,461,6,2,1,8,9.4,9.0,72.0,123.4,18,86,4.8,0,0,0,7,11,2,2,34:47,2,2-0,27,2.0,23,473,318,155,,32.0,-20.31,-7.09,dolphins
2,3,Sun,September 25,home,bills,21,19,13,20,171,1,0,2,15,9.3,7.8,65.0,108.5,17,41,2.4,2,0,0,3,8,0,0,19:20,3,3-0,15,,31,497,382,115,1.0,7.45,-15.88,4.86,dolphins
3,4,Thu,September 29,away,bengals,15,27,22,37,293,1,2,1,10,8.2,7.7,59.5,71.1,22,85,3.9,0,3,4,2,10,0,1,28:25,4,3-1,20,2.0,16,371,304,67,,0.48,-9.11,-3.73,dolphins
4,5,Sun,October 9,away,jets,17,40,19,34,158,0,1,2,8,4.9,4.4,55.9,55.8,26,137,5.3,2,1,2,4,11,0,2,29:02,5,3-2,19,2.0,21,322,187,135,,-6.15,-11.86,-3.66,dolphins
5,6,Sun,October 16,home,vikings,16,24,30,47,385,2,2,6,33,8.9,7.3,63.8,85.9,20,73,3.7,0,1,2,4,14,1,2,35:29,6,3-3,23,3.0,11,234,156,78,,-8.38,4.43,-4.75,dolphins
6,7,Sun,October 23,home,steelers,16,10,21,35,261,1,0,0,0,7.5,7.5,60.0,92.7,27,111,4.1,0,3,3,4,14,0,1,26:44,7,4-3,17,,19,341,246,95,3.0,0.04,6.72,-2.49,dolphins
7,8,Sun,October 30,away,lions,31,27,29,36,369,3,0,2,13,10.6,9.7,80.6,137.2,26,107,4.1,1,1,1,8,12,1,1,34:22,8,5-3,27,1.0,22,393,311,82,,25.47,-19.14,-0.59,dolphins
8,9,Sun,November 6,away,bears,35,32,21,30,302,3,0,0,0,10.1,10.1,70.0,135.7,23,77,3.3,1,0,1,5,10,0,2,25:14,9,6-3,21,,23,368,116,252,,19.83,-17.18,2.01,dolphins
9,10,Sun,November 13,home,browns,39,17,26,33,296,3,0,1,6,9.2,8.7,78.8,134.3,33,195,5.9,2,2,2,6,11,1,2,33:14,10,7-3,29,,20,297,185,112,1.0,28.5,1.04,-4.93,dolphins
10,12,Sun,November 27,home,texans,30,15,23,41,273,1,0,5,32,7.4,5.9,56.1,84.7,26,66,2.5,1,3,3,4,15,1,1,32:27,12,8-3,25,1.0,14,210,174,36,3.0,-1.9,22.74,-3.97,dolphins
11,13,Sun,December 4,away,49ers,17,33,18,34,275,2,3,3,20,8.7,7.4,52.9,62.7,8,33,4.1,0,1,1,0,7,1,2,19:26,13,8-4,14,4.0,24,351,230,121,1.0,-13.36,-1.78,-1.0,dolphins
12,14,Sun,December 11,away,chargers,17,23,10,28,127,1,0,2,18,5.2,4.2,35.7,62.6,19,92,4.8,0,1,1,3,11,0,0,20:22,14,8-5,14,,24,432,350,82,,1.14,-9.39,1.98,dolphins
13,15,Sat,December 17,away,bills,29,32,17,30,217,2,0,2,17,7.8,6.8,56.7,101.7,25,188,7.5,1,3,3,5,14,1,1,30:07,15,8-6,20,,29,446,296,150,1.0,10.87,-19.07,4.2,dolphins
14,16,Sun,December 25,home,packers,20,26,16,25,294,1,3,2,16,12.4,10.9,64.0,78.2,18,82,4.6,1,2,3,2,7,1,1,28:00,16,8-7,15,4.0,17,301,222,79,1.0,-2.13,3.46,-6.52,dolphins
15,17,Sun,January 1,away,patriots,21,23,24,40,247,2,2,2,18,6.6,5.9,60.0,73.6,27,86,3.2,1,0,1,4,14,2,3,33:48,17,8-8,21,2.0,14,249,173,76,,-1.36,1.2,-1.03,dolphins
16,18,Sun,January 8,home,jets,11,6,20,31,140,0,0,1,12,4.9,4.4,64.5,74.7,32,162,5.1,0,3,3,4,13,1,2,35:25,18,9-8,17,,11,187,149,38,,-3.96,7.03,1.31,dolphins
17,19,Sun,January 15,away,bills,31,34,18,45,189,1,2,4,31,4.9,3.9,40.0,41.8,20,42,2.1,1,3,3,4,16,1,2,27:47,19,9-9,16,2.0,25,423,316,107,3.0,-15.56,2.41,6.64,dolphins
