,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,lions,38,35,18,32,239,0,0,1,4,7.6,7.2,56.3,80.1,39,216,5.5,4,1,1,10,17,2,3,31:34,1,1-0,27,,23,386,205,181,1.0,21.15,-15.67,-0.78,eagles
1,2,Mon,September 19,home,vikings,24,7,26,31,323,1,1,3,10,10.7,9.5,83.9,107.4,34,163,4.8,2,1,2,7,13,0,0,36:14,2,2-0,25,1.0,20,264,202,62,3.0,14.26,7.86,-7.37,eagles
2,3,Sun,September 25,away,commanders,24,8,22,35,328,3,0,3,12,9.7,8.6,62.9,122.1,30,72,2.4,0,1,1,5,15,2,3,27:06,3,3-0,21,,20,240,153,87,1.0,9.65,18.29,-8.92,eagles
3,4,Sun,October 2,home,jaguars,29,21,16,25,191,0,1,2,13,8.2,7.1,64.0,70.6,50,210,4.2,4,1,1,4,15,3,5,39:51,4,4-0,25,1.0,13,219,148,71,5.0,-0.18,11.06,-1.97,eagles
4,5,Sun,October 9,away,cardinals,20,17,26,36,218,0,0,2,21,6.6,5.7,72.2,87.5,33,139,4.2,2,2,2,6,13,1,1,34:39,5,5-0,24,,23,363,239,124,1.0,10.63,-12.33,5.16,eagles
5,6,Sun,October 16,home,cowboys,26,17,15,25,132,2,0,4,23,6.2,4.6,60.0,100.7,39,136,3.5,1,2,2,6,14,1,1,34:30,6,6-0,22,,21,315,181,134,3.0,7.95,0.04,3.76,eagles
6,8,Sun,October 30,home,steelers,35,13,20,30,290,4,0,3,18,10.3,8.8,66.7,137.5,20,111,5.6,1,0,0,7,12,1,1,25:42,8,7-0,20,,21,302,158,144,2.0,23.31,4.96,-2.01,eagles
7,9,Thu,November 3,away,texans,29,17,21,27,217,2,0,4,26,9.0,7.0,77.8,124.8,31,143,4.6,2,0,1,5,10,2,2,28:13,9,8-0,24,1.0,20,303,135,168,2.0,17.84,-1.89,-2.38,eagles
8,10,Mon,November 14,home,commanders,21,32,17,26,170,2,1,1,5,6.7,6.3,65.4,93.4,20,94,4.7,1,0,0,5,8,0,0,19:36,10,8-1,18,4.0,25,330,178,152,2.0,-1.89,-4.13,-5.98,eagles
9,11,Sun,November 20,away,colts,17,16,18,25,173,1,0,3,17,7.6,6.2,72.0,104.2,33,141,4.3,1,1,1,5,12,1,2,29:22,11,9-1,18,2.0,14,284,185,99,1.0,-3.73,9.33,-1.97,eagles
10,12,Sun,November 27,home,packers,40,33,16,28,137,2,0,2,16,5.5,4.6,57.1,93.9,49,363,7.4,3,2,2,8,15,2,3,35:34,12,10-1,29,1.0,19,342,236,106,2.0,20.82,-11.56,0.51,eagles
11,13,Sun,December 4,home,titans,35,10,30,41,386,3,0,2,5,9.5,9.0,73.2,126.7,24,67,2.8,2,0,0,3,11,3,3,32:33,13,11-1,26,,11,209,122,87,,25.58,8.95,-6.75,eagles
12,14,Sun,December 11,away,giants,48,22,21,31,184,2,0,4,33,7.0,5.3,67.7,104.8,31,253,8.2,4,2,2,6,11,1,1,32:30,14,12-1,27,,18,304,181,123,1.0,28.9,1.45,-1.98,eagles
13,15,Sun,December 18,away,bears,25,20,22,37,309,0,2,1,6,8.5,8.1,59.5,63.9,33,112,3.4,3,1,2,9,16,1,2,29:53,15,13-1,20,3.0,15,248,91,157,1.0,5.25,6.32,-2.12,eagles
14,16,Sat,December 24,away,cowboys,34,40,24,40,355,2,2,0,0,8.9,8.9,60.0,84.9,29,87,3.0,1,2,2,8,14,2,3,27:42,16,13-2,25,4.0,25,419,304,115,1.0,7.76,-12.39,-0.74,eagles
15,17,Sun,January 1,home,saints,10,20,18,32,246,1,1,6,28,8.6,6.5,56.3,78.4,15,67,4.5,0,1,1,3,12,0,2,22:56,17,13-3,11,1.0,19,313,184,129,1.0,-12.38,2.95,-0.32,eagles
16,18,Sun,January 8,home,giants,22,16,20,35,207,0,1,3,22,6.5,5.4,57.1,62.4,34,135,4.0,1,5,5,5,14,0,0,31:26,18,14-3,23,1.0,18,284,155,129,,0.69,1.86,4.64,eagles
