,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,saints,26,27,20,33,215,0,0,0,0,6.5,6.5,60.6,79.7,38,201,5.3,2,4,5,5,13,0,0,33:44,1,0-1,26,2.0,18,385,234,151,1.0,7.5,-4.62,0.51,falcons
1,2,Sun,September 18,away,rams,27,31,17,26,171,2,2,3,25,7.5,5.9,65.4,77.6,27,90,3.3,0,1,2,3,10,1,2,29:36,2,0-2,17,3.0,24,337,272,65,3.0,-3.49,-8.46,8.11,falcons
2,3,Sun,September 25,away,seahawks,27,23,13,20,207,1,1,3,22,11.5,9.0,65.0,95.2,31,179,5.8,2,2,2,4,7,0,0,28:14,3,1-2,24,2.0,23,420,308,112,1.0,20.84,-15.09,1.2,falcons
3,4,Sun,October 2,home,browns,23,20,7,19,131,0,1,1,8,7.3,6.6,36.8,39.6,35,202,5.8,2,3,3,3,9,0,0,24:16,4,2-2,19,1.0,22,403,226,177,2.0,5.92,-5.25,1.44,falcons
4,5,Sun,October 9,away,buccaneers,15,21,14,25,110,1,0,5,37,5.9,3.7,56.0,80.4,31,151,4.9,1,0,1,6,14,1,1,30:34,5,2-3,19,,26,420,351,69,,3.9,-13.3,1.34,falcons
5,6,Sun,October 16,home,49ers,28,14,13,14,121,2,0,2,8,9.2,7.6,92.9,142.3,40,168,4.2,1,0,0,9,14,0,0,33:25,6,3-3,18,,21,346,296,50,3.0,11.56,-0.59,-1.69,falcons
6,7,Sun,October 23,away,bengals,17,35,8,13,107,1,0,3,17,9.5,6.7,61.5,113.3,29,107,3.7,1,1,1,4,10,0,0,26:55,7,3-4,13,,29,537,459,78,,3.19,-33.05,6.33,falcons
7,8,Sun,October 30,home,panthers,37,34,20,28,239,3,2,2,14,9.0,8.0,71.4,103.1,37,167,4.5,0,3,3,6,12,0,0,36:34,8,4-4,21,2.0,23,478,309,169,1.0,9.4,-9.83,1.64,falcons
8,9,Sun,November 6,home,chargers,17,20,12,23,114,0,0,2,15,5.6,4.6,52.2,66.2,35,201,5.7,2,1,2,5,11,0,0,31:49,9,4-5,19,2.0,19,336,245,91,2.0,1.74,-5.12,0.66,falcons
9,10,Thu,November 10,away,panthers,15,25,19,30,153,2,1,5,33,6.2,4.4,63.3,84.4,25,138,5.5,0,1,1,3,11,0,2,25:48,10,4-6,20,1.0,18,333,101,232,,-6.14,-2.11,-0.94,falcons
10,11,Sun,November 20,home,bears,27,24,13,20,131,1,0,0,0,6.6,6.6,65.0,100.2,33,149,4.5,1,2,2,2,9,1,1,24:50,11,5-6,18,2.0,20,288,128,160,1.0,4.06,-3.91,5.42,falcons
11,12,Sun,November 27,away,commanders,13,19,15,25,165,1,1,1,9,7.0,6.3,60.0,76.2,29,167,5.8,0,2,3,4,10,0,1,26:51,12,5-7,18,1.0,20,314,138,176,1.0,1.62,-3.96,-2.06,falcons
12,13,Sun,December 4,home,steelers,16,19,13,24,160,1,1,1,7,7.0,6.4,54.2,71.5,28,146,5.2,0,3,3,3,10,1,1,27:05,13,5-8,18,1.0,22,351,197,154,,0.33,-9.6,1.33,falcons
13,15,Sun,December 18,away,saints,18,21,13,26,89,0,0,4,8,3.7,3.0,50.0,58.0,39,231,5.9,2,1,1,9,16,0,1,30:56,15,5-9,21,1.0,17,348,214,134,1.0,8.41,-6.38,-1.86,falcons
14,16,Sat,December 24,away,ravens,9,17,22,33,212,0,0,2,6,6.6,6.1,66.7,84.4,33,115,3.5,0,3,3,5,14,1,4,32:44,16,5-10,17,1.0,15,299,115,184,,-7.26,-2.18,3.42,falcons
15,17,Sun,January 1,home,cardinals,20,19,19,26,166,0,0,1,3,6.5,6.1,73.1,89.6,34,132,3.9,2,2,2,5,11,1,2,32:24,17,6-10,20,1.0,22,339,213,126,,3.27,-6.1,5.1,falcons
16,18,Sun,January 8,home,buccaneers,30,17,19,30,208,2,0,2,16,7.5,6.5,63.3,106.0,35,174,5.0,1,3,3,6,15,3,3,34:49,18,7-10,22,1.0,12,222,136,86,1.0,8.84,6.05,-1.56,falcons
