,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,titans,21,20,17,21,156,2,1,5,32,9.0,6.0,81.0,109.5,32,238,7.4,1,0,0,2,10,1,1,28:54,1,1-0,19,2.0,19,359,266,93,1.0,3.72,-5.97,2.44,giants
1,2,Sun,September 18,home,panthers,19,16,22,34,162,1,0,3,14,5.2,4.4,64.7,85.7,33,103,3.1,0,4,4,6,18,1,1,36:05,2,2-0,18,,18,275,129,146,2.0,-6.2,2.09,6.13,giants
2,3,Mon,September 26,home,cowboys,16,23,20,37,169,0,1,5,27,5.3,4.0,54.1,54.9,25,167,6.7,1,3,4,3,11,0,1,27:18,3,2-1,22,1.0,23,391,215,176,,-0.51,-10.78,0.01,giants
3,4,Sun,October 2,home,bears,20,12,9,16,71,0,1,1,11,5.1,4.2,56.3,41.4,44,262,6.0,2,2,3,6,14,0,0,31:17,4,3-1,21,2.0,16,304,155,149,3.0,9.33,6.69,-7.79,giants
4,5,Sun,October 9,away,packers,27,22,21,27,213,0,0,1,4,8.0,7.6,77.8,99.5,31,125,4.0,3,2,2,6,11,0,1,32:11,5,4-1,24,,22,301,207,94,,16.07,-5.67,-4.63,giants
5,6,Sun,October 16,home,ravens,24,20,19,27,155,2,0,4,18,6.4,5.0,70.4,109.3,31,83,2.7,1,1,1,7,14,0,0,31:52,6,5-1,18,1.0,23,406,195,211,2.0,4.93,-6.0,8.06,giants
6,7,Sun,October 23,away,jaguars,23,17,19,30,200,1,0,1,2,6.7,6.5,63.3,93.7,39,236,6.1,1,3,3,6,12,0,1,34:10,7,6-1,27,,27,452,310,142,1.0,17.0,-14.14,-2.5,giants
7,8,Sun,October 30,away,seahawks,13,27,17,31,147,0,0,5,29,5.7,4.1,54.8,67.5,28,78,2.8,1,2,2,6,16,0,1,33:34,8,6-2,14,2.0,19,277,190,87,1.0,-10.8,2.79,-8.31,giants
8,10,Sun,November 13,home,texans,24,16,13,17,176,2,0,3,21,11.6,8.8,76.5,148.2,47,191,4.1,1,1,1,7,14,0,0,33:20,10,7-2,19,,22,387,286,101,2.0,10.29,-0.4,-0.41,giants
9,11,Sun,November 20,home,lions,18,31,27,44,324,1,2,2,17,7.8,7.0,61.4,72.5,26,89,3.4,2,0,0,5,13,2,3,28:12,11,7-3,25,3.0,23,325,165,160,,0.64,-9.36,-7.69,giants
10,12,Thu,November 24,away,cowboys,20,28,21,35,210,1,0,3,18,6.5,5.5,60.0,86.6,21,90,4.3,1,2,2,3,11,0,2,25:51,12,7-4,21,,26,430,261,169,2.0,0.13,-16.03,6.25,giants
11,13,Sun,December 4,home,commanders,20,20,25,31,182,1,0,4,18,6.5,5.2,80.6,101.9,30,134,4.5,1,2,3,4,13,0,0,28:49,13,7-4-1,20,1.0,25,411,246,165,1.0,-2.71,-2.87,5.65,giants
12,14,Sun,December 11,home,eagles,22,48,23,32,181,2,0,7,35,6.8,4.6,71.9,106.4,24,123,5.1,1,0,0,4,13,2,4,27:30,14,7-5-1,18,1.0,27,437,184,253,,-1.45,-28.9,1.98,giants
13,15,Sun,December 18,away,commanders,20,12,21,32,160,0,0,0,0,5.0,5.0,65.6,77.6,30,128,4.3,1,2,2,2,10,1,1,30:30,15,8-5-1,19,,20,387,228,159,2.0,0.95,3.08,2.25,giants
14,16,Sat,December 24,away,vikings,24,27,30,42,319,1,1,3,15,8.0,7.1,71.4,91.3,21,126,6.0,1,3,3,3,11,1,1,29:13,16,8-6-1,23,2.0,23,353,270,83,,6.2,-7.38,-3.12,giants
15,17,Sun,January 1,home,colts,38,10,19,24,177,2,0,0,0,7.4,7.4,79.2,125.2,37,217,5.9,2,1,1,4,7,0,1,31:36,17,9-6-1,26,1.0,14,252,124,128,1.0,17.59,5.92,2.69,giants
16,18,Sun,January 8,away,eagles,16,22,23,40,155,1,0,2,13,4.2,3.7,57.5,74.5,21,129,6.1,1,1,1,4,14,2,3,28:34,18,9-7-1,18,,23,342,207,135,1.0,-1.86,-0.69,-4.64,giants
17,19,Sun,January 15,away,vikings,31,24,24,35,289,2,0,3,12,8.6,7.6,68.6,112.7,30,142,4.7,2,1,1,7,13,2,2,33:36,19,10-7-1,28,,21,332,271,61,,24.0,-13.86,-3.74,giants
