,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,commanders,22,28,24,42,260,1,1,2,15,6.5,5.9,57.1,73.5,18,123,6.8,1,3,4,3,12,0,1,26:27,1,0-1,24,1.0,26,390,305,85,3.0,3.64,-9.54,-0.26,jaguars
1,2,Sun,September 18,home,colts,24,0,25,30,235,2,0,0,0,7.8,7.8,83.3,121.5,37,96,2.6,1,1,1,6,15,2,3,38:15,2,1-1,21,,9,218,164,54,3.0,7.05,20.67,-3.43,jaguars
2,3,Sun,September 25,away,chargers,38,10,28,39,262,3,0,0,0,6.7,6.7,71.8,115.5,36,151,4.2,1,3,3,8,15,2,3,38:27,3,2-1,25,,16,312,286,26,2.0,18.06,10.35,-2.6,jaguars
3,4,Sun,October 2,away,eagles,21,29,11,23,148,2,1,4,26,7.6,5.5,47.8,79.6,19,71,3.7,0,0,0,2,7,0,1,20:09,4,2-2,13,5.0,25,401,191,210,1.0,-11.06,0.18,1.97,jaguars
4,5,Sun,October 9,home,texans,6,13,25,47,286,0,2,0,0,6.1,6.1,53.2,54.0,26,136,5.2,0,2,2,6,14,0,3,28:13,5,2-3,22,2.0,15,248,132,116,,-2.39,2.0,-3.89,jaguars
5,6,Sun,October 16,away,colts,27,34,20,22,136,1,0,4,29,7.5,5.2,90.9,107.6,33,243,7.4,3,0,0,5,10,1,2,31:11,6,2-4,25,1.0,29,434,389,45,,16.47,-21.98,-3.81,jaguars
6,7,Sun,October 23,home,giants,17,23,22,44,310,0,0,0,0,7.0,7.0,50.0,73.1,21,142,6.8,2,1,1,6,13,2,4,25:50,7,2-5,27,1.0,27,436,200,236,,14.14,-17.0,2.5,jaguars
7,8,Sun,October 30,home,broncos,17,21,18,31,114,1,2,2,19,4.3,3.5,58.1,49.7,32,191,6.0,1,1,1,4,11,0,0,34:04,8,2-6,24,2.0,18,331,230,101,1.0,-1.81,-4.66,-3.24,jaguars
8,9,Sun,November 6,home,raiders,27,20,25,31,235,1,0,0,0,7.6,7.6,80.6,109.0,37,168,4.5,2,2,3,9,15,0,0,32:25,9,3-6,22,1.0,16,321,248,73,1.0,13.11,0.43,-2.69,jaguars
9,10,Sun,November 13,away,chiefs,17,27,29,40,240,2,0,5,19,6.5,5.3,72.5,104.2,16,75,4.7,0,1,3,4,14,2,2,29:28,10,3-7,17,,26,486,331,155,3.0,3.86,-23.27,7.32,jaguars
10,12,Sun,November 27,home,ravens,28,27,29,37,294,3,0,4,27,8.7,7.2,78.4,126.8,20,38,1.9,0,2,2,4,13,2,3,27:21,12,4-7,18,1.0,24,415,253,162,2.0,5.31,-8.53,1.38,jaguars
11,13,Sun,December 4,away,lions,14,40,19,34,171,1,0,2,14,5.4,4.8,55.9,79.4,19,95,5.0,0,2,2,3,12,3,4,23:10,13,4-8,14,1.0,31,437,337,100,,-3.84,-25.2,-0.8,jaguars
12,14,Sun,December 11,away,titans,36,22,30,42,368,3,0,0,0,8.8,8.8,71.4,121.9,25,60,2.4,1,3,3,6,13,0,1,32:52,14,5-8,22,,22,364,227,137,4.0,13.06,3.01,-3.47,jaguars
13,15,Sun,December 18,home,cowboys,40,34,27,42,311,4,1,1,7,7.6,7.2,64.3,108.3,27,192,7.1,0,2,2,8,12,0,0,27:42,15,6-8,26,3.0,24,397,243,154,2.0,16.24,-8.92,0.94,jaguars
14,16,Thu,December 22,away,jets,19,3,20,31,218,0,0,1,11,7.4,6.8,64.5,85.1,39,147,3.8,1,4,5,7,16,0,0,34:52,16,7-8,19,1.0,10,227,161,66,2.0,3.0,14.15,-5.11,jaguars
15,17,Sun,January 1,away,texans,31,3,22,29,168,0,2,2,13,6.2,5.4,75.9,60.7,29,169,5.8,3,1,1,4,12,0,0,29:30,17,8-8,20,2.0,13,277,193,84,1.0,4.68,23.38,-4.1,jaguars
16,18,Sat,January 7,home,titans,20,16,20,32,203,1,0,1,9,6.6,6.2,62.5,91.0,14,19,1.4,0,2,2,5,11,0,0,23:48,18,9-8,13,1.0,19,312,165,147,2.0,-4.3,9.68,-1.28,jaguars
17,19,Sat,January 14,home,chargers,31,30,28,47,273,4,4,2,15,6.1,5.6,59.6,68.8,21,117,5.6,0,1,1,2,10,2,3,27:21,19,10-8,24,5.0,18,320,253,67,,3.13,-3.29,0.98,jaguars
