,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,ravens,9,24,37,59,297,1,1,3,12,5.2,4.8,62.7,73.9,17,83,4.9,0,1,2,2,14,3,4,32:30,1,0-1,24,2.0,13,274,211,63,1.0,-8.07,-3.65,-5.04,jets
1,2,Sun,September 18,away,browns,31,30,27,45,309,4,0,2,15,7.2,6.6,60.0,110.3,20,93,4.7,0,1,1,8,15,1,1,27:46,2,1-1,20,1.0,29,405,221,184,1.0,15.19,-17.92,5.38,jets
2,3,Sun,September 25,home,bengals,12,27,28,52,252,0,2,4,33,5.5,4.5,53.8,51.1,20,76,3.8,0,4,4,7,18,0,3,27:36,3,1-2,19,4.0,20,330,261,69,1.0,-16.45,-3.99,6.98,jets
3,4,Sun,October 2,away,steelers,24,20,19,37,250,2,2,1,4,6.9,6.6,51.4,68.5,29,98,3.4,1,1,1,6,15,1,1,29:59,4,2-2,19,2.0,20,297,178,119,4.0,-1.46,2.55,2.91,jets
4,5,Sun,October 9,home,dolphins,40,17,14,21,187,0,0,2,23,10.0,8.1,66.7,94.7,33,135,4.1,5,1,1,5,11,0,1,30:58,5,3-2,21,,19,295,158,137,2.0,11.86,6.15,3.66,jets
5,6,Sun,October 16,away,packers,27,10,10,18,99,0,0,2,11,6.1,5.0,55.6,71.3,33,179,5.4,2,2,3,1,11,0,0,28:48,6,4-2,14,,15,278,218,60,1.0,-2.59,16.24,4.32,jets
6,7,Sun,October 23,away,broncos,16,9,16,26,105,0,0,3,16,4.7,3.6,61.5,70.2,24,155,6.5,1,3,3,3,14,0,0,27:37,7,5-2,10,,21,324,219,105,1.0,-8.14,8.53,8.12,jets
7,8,Sun,October 30,home,patriots,17,22,20,41,336,2,3,2,19,8.7,7.8,48.8,62.7,15,51,3.4,0,1,2,5,14,0,1,24:26,8,5-3,17,3.0,19,288,161,127,1.0,-2.3,9.31,-12.01,jets
8,9,Sun,November 6,home,bills,20,17,18,25,136,1,0,2,18,6.2,5.0,72.0,98.1,34,174,5.1,1,2,2,5,13,2,2,32:44,9,6-3,21,1.0,19,317,183,134,2.0,7.64,-0.54,-2.11,jets
9,11,Sun,November 20,away,patriots,3,10,9,22,44,0,0,4,33,3.5,1.7,40.9,48.7,23,59,2.6,0,1,1,3,14,0,0,24:30,11,6-4,6,,13,297,198,99,,-18.64,9.78,5.4,jets
10,12,Sun,November 27,home,bears,31,10,22,29,308,3,0,1,7,10.9,10.3,75.9,144.0,32,158,4.9,1,1,2,7,12,0,1,32:05,12,7-4,22,,14,292,165,127,1.0,20.96,3.97,-3.63,jets
11,13,Sun,December 4,away,vikings,22,27,31,58,366,0,2,1,3,6.4,6.2,53.4,58.5,24,120,5.0,1,5,5,3,16,2,5,31:38,13,7-5,23,2.0,21,287,159,128,,1.01,-5.08,-0.01,jets
12,14,Sun,December 11,away,bills,12,20,28,47,233,0,0,4,36,5.7,4.6,59.6,72.4,22,76,3.5,1,1,1,8,17,0,1,34:25,14,7-6,19,2.0,14,232,130,102,,-12.35,5.17,-3.77,jets
13,15,Sun,December 18,home,lions,17,20,18,35,287,2,1,4,30,9.1,7.4,51.4,86.3,22,50,2.3,0,1,2,7,14,1,1,27:28,15,7-7,18,1.0,17,359,252,107,,3.71,-2.21,-2.44,jets
14,16,Thu,December 22,home,jaguars,3,19,19,33,161,0,1,3,21,5.5,4.5,57.6,57.8,20,66,3.3,0,1,1,2,13,1,5,25:08,16,7-8,10,2.0,19,365,218,147,1.0,-14.15,-3.0,5.11,jets
15,17,Sun,January 1,away,seahawks,6,23,23,46,204,0,2,4,36,5.2,4.1,50.0,44.1,17,75,4.4,0,2,3,4,13,0,2,26:22,17,7-9,20,3.0,20,346,148,198,,-16.78,-3.31,4.05,jets
16,18,Sun,January 8,away,dolphins,6,11,18,33,149,0,0,0,0,4.5,4.5,54.5,66.4,20,38,1.9,0,2,3,7,16,0,0,24:35,18,7-10,11,,17,302,140,162,,-7.03,3.96,-1.31,jets
