,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,eagles,35,38,21,37,205,2,1,1,10,5.8,5.4,56.8,79.2,28,181,6.5,3,0,0,9,14,1,1,28:26,1,0-1,23,1.0,27,455,239,216,,15.67,-21.15,0.78,lions
1,2,Sun,September 18,home,commanders,36,27,20,34,234,4,0,3,22,7.5,6.3,58.8,119.0,24,191,8.0,0,2,2,4,13,0,2,27:57,2,1-1,17,,21,396,308,88,1.0,7.13,-5.79,10.29,lions
2,3,Sun,September 25,away,vikings,24,28,25,41,277,1,1,0,0,6.8,6.8,61.0,79.0,35,139,4.0,2,1,3,3,16,4,6,34:04,3,1-2,23,1.0,30,373,250,123,1.0,8.25,-11.58,-1.93,lions
3,4,Sun,October 2,home,seahawks,45,48,27,40,375,4,1,1,9,9.6,9.1,67.5,120.3,25,145,5.8,2,1,1,4,10,3,3,26:54,4,1-3,27,2.0,27,555,320,235,1.0,22.12,-32.93,3.99,lions
4,5,Sun,October 9,away,patriots,0,29,19,35,211,0,1,2,18,6.5,5.7,54.3,60.5,27,101,3.7,0,0,0,4,12,0,6,28:31,5,1-4,17,2.0,22,364,188,176,1.0,-22.04,-10.08,3.38,lions
5,7,Sun,October 23,away,cowboys,6,24,21,26,195,0,2,5,33,8.8,6.3,80.8,65.9,25,117,4.7,0,2,2,3,9,0,0,31:14,7,1-5,18,5.0,21,330,191,139,1.0,-12.68,-4.39,-1.61,lions
6,8,Sun,October 30,home,dolphins,27,31,27,37,311,1,0,1,10,8.7,8.2,73.0,106.9,19,82,4.3,2,2,2,4,9,1,2,25:38,8,1-6,22,,27,476,369,107,1.0,19.14,-25.47,0.59,lions
7,9,Sun,November 6,home,packers,15,9,14,26,137,2,1,0,0,5.3,5.3,53.8,78.5,31,117,3.8,0,0,0,6,11,0,2,25:18,9,2-6,19,1.0,19,389,283,106,3.0,-1.35,5.25,2.44,lions
8,10,Sun,November 13,away,bears,31,30,19,26,228,1,0,2,8,9.1,8.1,73.1,112.3,31,95,3.1,2,1,1,5,11,1,1,30:48,10,3-6,25,,19,408,150,258,1.0,13.55,-9.38,2.09,lions
9,11,Sun,November 20,away,giants,31,18,17,26,165,0,0,0,0,6.3,6.3,65.4,83.0,37,160,4.3,4,1,1,6,13,0,0,31:48,11,4-6,23,,25,413,324,89,3.0,9.36,-0.64,7.69,lions
10,12,Thu,November 24,home,bills,25,28,23,37,230,2,0,2,10,6.5,5.9,62.2,97.8,28,96,3.4,1,1,2,6,15,3,3,28:34,12,4-7,22,2.0,28,401,237,164,1.0,12.71,-16.07,3.07,lions
11,13,Sun,December 4,home,jaguars,40,14,31,41,337,2,0,2,3,8.3,7.8,75.6,115.6,31,100,3.2,2,4,4,8,12,0,0,36:50,13,5-7,31,,14,266,171,95,1.0,25.2,3.84,0.8,lions
12,14,Sun,December 11,home,vikings,34,23,27,39,330,3,0,0,0,8.5,8.5,69.2,120.7,30,134,4.5,1,2,3,7,15,1,2,31:54,14,6-7,23,,23,416,394,22,2.0,19.88,-7.96,-0.55,lions
13,15,Sun,December 18,away,jets,20,17,23,38,252,1,0,0,0,6.6,6.6,60.5,88.9,28,107,3.8,0,2,3,5,15,2,3,32:32,15,7-7,17,,18,337,287,50,1.0,2.21,-3.71,2.44,lions
14,16,Sat,December 24,away,panthers,23,37,25,42,336,3,0,2,19,8.5,7.6,59.5,108.8,17,45,2.6,0,1,1,4,12,2,3,24:47,16,7-8,22,1.0,30,570,250,320,,9.31,-30.2,3.52,lions
15,17,Sun,January 1,home,bears,41,10,21,29,239,3,0,2,16,8.8,7.7,72.4,131.2,39,265,6.8,2,2,2,4,12,0,1,35:43,17,8-8,26,,9,230,30,200,2.0,22.92,10.91,-6.73,lions
16,18,Sun,January 8,away,packers,20,16,23,34,219,0,0,1,5,6.6,6.3,67.6,85.3,25,104,4.2,2,2,3,4,12,2,2,27:45,18,9-8,21,,17,291,188,103,2.0,10.66,-0.31,-1.59,lions
