,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,vikings,7,23,26,39,227,0,1,4,33,6.7,5.3,66.7,71.2,18,111,6.2,1,0,0,3,9,0,2,28:37,1,0-1,21,2.0,19,395,269,126,,-1.89,-9.99,-1.12,packers
1,2,Sun,September 18,home,bears,27,10,19,25,211,2,0,3,23,9.4,7.5,76.0,127.2,38,203,5.3,1,2,2,5,9,0,0,37:15,2,1-1,26,1.0,11,228,48,180,1.0,16.87,4.4,-1.71,packers
2,3,Sun,September 25,away,buccaneers,14,12,27,35,248,2,1,1,7,7.3,6.9,77.1,103.0,25,67,2.7,0,0,0,6,15,0,0,33:25,3,2-1,14,2.0,19,285,251,34,2.0,-4.08,9.14,-0.3,packers
3,4,Sun,October 2,home,patriots,27,24,21,35,244,2,1,1,7,7.2,6.8,60.0,88.3,35,199,5.7,1,2,2,6,14,1,1,36:49,4,3-1,24,2.0,17,271,104,167,1.0,5.17,2.0,-2.64,packers
4,5,Sun,October 9,home,giants,22,27,25,39,207,2,0,2,15,5.7,5.0,64.1,94.7,20,94,4.7,0,2,2,4,10,0,1,27:49,5,3-2,22,,24,338,213,125,,5.67,-16.07,4.63,packers
5,6,Sun,October 16,home,jets,10,27,28,45,218,1,0,4,36,5.6,4.4,62.2,81.5,20,60,3.0,0,1,2,4,16,1,4,31:12,6,3-3,15,1.0,14,278,99,179,,-16.24,2.59,-4.32,packers
6,7,Sun,October 23,away,commanders,21,23,23,35,194,2,0,0,0,5.5,5.5,65.7,99.0,12,38,3.2,0,0,0,0,6,0,1,22:53,7,3-4,16,1.0,22,364,198,166,1.0,1.83,-0.7,-0.57,packers
7,8,Sun,October 30,away,bills,17,27,19,30,190,2,1,2,13,6.8,5.9,63.3,89.6,31,208,6.7,0,1,2,6,12,0,2,33:48,8,3-5,21,1.0,20,369,216,153,2.0,5.55,-12.79,-4.01,packers
8,9,Sun,November 6,away,lions,9,15,23,43,283,1,3,1,8,6.8,6.4,53.5,52.8,25,106,4.2,0,1,1,8,15,1,4,34:42,9,3-6,19,3.0,19,254,137,117,1.0,-5.25,1.35,-2.44,packers
9,10,Sun,November 13,home,cowboys,31,28,14,20,208,3,0,2,16,11.2,9.5,70.0,143.3,39,207,5.3,1,1,2,6,13,1,1,35:55,10,4-6,20,2.0,24,421,262,159,2.0,17.21,-2.81,-10.13,packers
10,11,Thu,November 17,home,titans,17,27,24,39,215,2,0,1,12,5.8,5.4,61.5,93.4,19,56,2.9,0,1,1,7,14,0,2,27:32,11,4-7,15,,21,408,320,88,1.0,-0.61,-15.39,2.77,packers
11,12,Sun,November 27,away,eagles,33,40,17,25,236,3,2,3,17,10.1,8.4,68.0,104.3,21,106,5.0,1,2,2,1,7,1,1,24:26,12,4-8,19,2.0,29,500,137,363,1.0,11.56,-20.82,-0.51,packers
12,13,Sun,December 4,away,bears,28,19,18,31,182,1,0,0,0,5.9,5.9,58.1,85.7,32,175,5.5,2,2,2,6,13,1,2,32:28,13,5-8,21,,15,409,254,155,3.0,13.69,-7.73,-0.33,packers
13,15,Mon,December 19,home,rams,24,12,22,30,207,1,1,3,22,7.6,6.3,73.3,89.2,35,138,3.9,2,1,1,4,9,2,2,37:19,15,6-8,27,2.0,13,156,84,72,1.0,13.03,1.29,0.81,packers
14,16,Sun,December 25,away,dolphins,26,20,24,38,222,1,1,2,16,6.3,5.6,63.2,76.9,25,79,3.2,1,4,4,2,14,3,5,32:00,16,7-8,17,1.0,15,376,294,82,4.0,-3.46,2.13,6.52,packers
15,17,Sun,January 1,home,vikings,41,17,17,27,152,1,0,1,16,6.2,5.4,63.0,90.4,33,163,4.9,2,2,2,7,12,0,1,34:04,17,8-8,20,,18,346,244,102,4.0,9.54,10.2,4.19,packers
16,18,Sun,January 8,home,lions,16,20,17,27,188,1,1,2,17,7.6,6.5,63.0,80.5,28,103,3.7,0,3,4,4,12,1,2,32:15,18,8-9,17,2.0,21,323,219,104,,0.31,-10.66,1.59,packers
