,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,browns,24,26,16,27,207,1,1,4,28,8.7,6.7,59.3,80.3,19,54,2.8,2,1,1,4,11,0,0,21:34,1,0-1,15,1.0,23,355,138,217,,5.38,-6.82,-1.66,panthers
1,2,Sun,September 18,away,giants,16,19,14,29,129,1,0,2,16,5.0,4.2,48.3,72.3,23,146,6.3,0,3,3,2,12,1,1,23:55,2,0-2,18,2.0,18,265,162,103,,-2.09,6.2,-6.13,panthers
2,3,Sun,September 25,home,saints,22,14,12,25,148,1,0,3,22,6.8,5.3,48.0,80.1,31,145,4.7,0,3,3,4,14,0,1,30:10,3,1-2,12,,19,426,342,84,3.0,-9.01,4.57,11.38,panthers
3,4,Sun,October 2,home,cardinals,16,26,22,36,180,1,2,2,17,5.5,4.7,61.1,60.0,13,40,3.1,0,1,1,2,10,1,3,21:25,4,1-3,11,3.0,20,338,206,132,1.0,-19.54,6.14,1.9,panthers
4,5,Sun,October 9,home,49ers,15,37,25,42,244,0,1,6,31,6.5,5.1,59.5,66.0,17,64,3.8,1,3,4,3,15,3,5,29:42,5,1-4,15,1.0,22,397,244,153,1.0,-13.22,-16.04,7.82,panthers
5,6,Sun,October 16,away,rams,10,24,13,21,110,0,1,2,9,5.7,4.8,61.9,55.7,21,93,4.4,0,1,1,2,10,0,0,22:55,6,1-5,8,1.0,22,360,249,111,1.0,-11.74,-3.51,2.53,panthers
6,7,Sun,October 23,home,buccaneers,21,3,16,22,170,2,0,1,7,8.0,7.4,72.7,125.2,27,173,6.4,1,0,0,4,12,0,0,29:24,7,2-5,14,,17,322,276,46,,7.39,5.31,3.31,panthers
7,8,Sun,October 30,away,falcons,34,37,19,36,309,1,1,1,8,8.8,8.4,52.8,79.5,36,169,4.7,3,2,3,5,13,1,2,31:31,8,2-6,23,1.0,21,406,239,167,2.0,9.83,-9.4,-1.64,panthers
8,9,Sun,November 6,away,bengals,21,42,17,30,164,2,2,0,0,5.5,5.5,56.7,66.5,18,64,3.6,1,0,0,2,8,1,1,20:39,9,2-7,13,3.0,30,464,223,241,,0.37,-30.2,12.97,panthers
9,10,Thu,November 10,home,falcons,25,15,10,16,101,0,0,1,7,6.8,5.9,62.5,80.5,47,232,4.9,2,4,4,6,15,0,0,34:12,10,3-7,18,,20,291,153,138,1.0,2.11,6.14,0.94,panthers
10,11,Sun,November 20,away,ravens,3,13,21,33,169,0,2,4,27,5.9,4.6,63.6,51.2,17,36,2.1,0,1,1,3,12,0,1,26:46,11,3-8,13,3.0,19,308,193,115,1.0,-20.39,5.63,3.58,panthers
11,12,Sun,November 27,home,broncos,23,10,11,19,164,1,0,0,0,8.6,8.6,57.9,103.8,46,185,4.0,1,3,3,2,12,2,2,37:03,12,4-8,19,1.0,14,246,125,121,2.0,6.49,9.5,-1.36,panthers
12,14,Sun,December 11,away,seahawks,30,24,14,24,105,1,0,2,15,5.0,4.0,58.3,82.8,46,223,4.8,2,3,3,6,13,1,2,39:16,14,5-8,24,,16,287,241,46,2.0,9.49,-1.49,0.23,panthers
13,15,Sun,December 18,home,steelers,16,24,14,23,188,1,0,4,37,9.8,7.0,60.9,101.4,16,21,1.3,0,3,3,4,11,0,0,23:49,15,5-9,12,,22,325,169,156,,3.72,-12.16,-1.58,panthers
14,16,Sat,December 24,home,lions,37,23,15,22,250,1,0,0,0,11.4,11.4,68.2,121.4,43,320,7.4,3,3,3,3,9,1,1,35:13,16,6-9,30,,22,381,336,45,1.0,30.2,-9.31,-3.52,panthers
15,17,Sun,January 1,away,buccaneers,24,30,23,37,326,3,1,2,15,9.2,8.4,62.2,106.4,22,74,3.4,0,1,1,4,11,1,2,26:50,17,6-10,22,3.0,25,478,411,67,1.0,4.36,-10.73,6.36,panthers
16,18,Sun,January 8,away,saints,10,7,5,15,32,0,2,2,11,2.9,1.9,33.3,2.8,41,171,4.2,0,1,1,8,14,0,0,30:55,18,7-10,14,2.0,16,304,161,143,1.0,-8.41,4.13,7.85,panthers
