,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,dolphins,7,20,21,30,193,1,1,2,20,7.1,6.0,70.0,84.4,22,78,3.5,0,0,0,4,9,0,1,27:30,1,0-1,17,3.0,18,307,242,65,,-8.28,-6.08,-1.98,patriots
1,2,Sun,September 18,away,steelers,17,14,21,35,252,1,1,0,0,7.2,7.2,60.0,79.7,31,124,4.0,1,1,2,9,17,0,0,33:36,2,1-1,18,1.0,16,243,152,91,2.0,6.14,3.44,-3.25,patriots
2,3,Sun,September 25,home,ravens,26,37,22,32,302,0,3,3,19,10.0,8.6,68.8,59.6,28,145,5.2,3,2,2,2,9,1,2,29:24,3,1-2,22,4.0,19,394,206,188,2.0,3.5,-11.67,-3.18,patriots
3,4,Sun,October 2,away,packers,24,27,15,21,104,1,0,4,32,6.5,4.2,71.4,98.1,33,167,5.1,1,1,1,3,11,0,0,33:11,4,1-3,17,1.0,24,443,244,199,2.0,-2.0,-5.17,2.64,patriots
4,5,Sun,October 9,home,lions,29,0,17,21,188,1,1,0,0,9.0,9.0,81.0,100.0,35,176,5.0,0,5,5,3,9,0,0,31:29,5,2-3,22,1.0,17,312,211,101,2.0,10.08,22.04,-3.38,patriots
5,6,Sun,October 16,away,browns,38,15,24,34,301,2,0,2,8,9.1,8.4,70.6,117.4,29,98,3.4,3,1,2,7,14,0,0,35:05,6,3-3,20,1.0,16,328,258,70,4.0,11.3,12.35,-0.09,patriots
6,7,Mon,October 24,home,bears,14,33,17,28,190,1,3,1,8,7.1,6.6,60.7,53.3,19,70,3.7,1,0,0,5,10,0,1,22:46,7,3-4,12,4.0,24,390,147,243,1.0,-10.97,-8.77,-0.11,patriots
7,8,Sun,October 30,away,jets,22,17,24,35,161,1,1,6,33,5.5,3.9,68.6,76.0,34,127,3.7,0,5,5,6,19,1,2,35:34,8,4-4,19,1.0,17,387,336,51,3.0,-9.31,2.3,12.01,patriots
8,9,Sun,November 6,home,colts,26,3,20,30,133,1,0,4,14,4.9,3.9,66.7,87.2,28,70,2.5,0,4,4,6,17,0,0,31:06,9,5-4,11,1.0,8,121,43,78,1.0,-9.55,31.93,-1.05,patriots
9,11,Sun,November 20,home,jets,10,3,23,27,198,0,0,6,48,9.1,6.0,85.2,97.2,26,99,3.8,0,1,3,4,15,0,1,35:30,11,6-4,13,,6,103,44,59,,-9.78,18.64,-5.4,patriots
10,12,Thu,November 24,away,vikings,26,33,28,39,364,2,0,3,18,9.8,8.7,71.8,117.9,13,45,3.5,0,4,4,3,10,0,1,23:43,12,6-5,17,,23,358,301,57,1.0,11.53,-9.14,-7.59,patriots
11,13,Thu,December 1,home,bills,10,24,22,36,182,1,0,1,13,5.4,4.9,61.1,83.3,14,60,4.3,0,1,2,3,12,1,1,21:52,13,6-6,14,,22,355,223,132,1.0,-1.41,-9.5,-3.26,patriots
12,14,Mon,December 12,away,cardinals,27,13,24,35,225,0,1,1,10,6.7,6.3,68.6,74.1,21,103,4.9,2,2,2,3,11,0,0,26:29,14,7-6,18,1.0,19,323,210,113,2.0,-0.47,17.43,-0.9,patriots
13,15,Sun,December 18,away,raiders,24,30,13,31,112,0,0,0,0,3.6,3.6,41.9,52.1,32,206,6.4,1,3,3,2,13,0,0,26:44,15,7-7,19,1.0,18,308,211,97,1.0,-7.82,2.33,-2.58,patriots
14,16,Sat,December 24,home,bengals,18,22,21,33,224,2,0,4,16,7.3,6.1,63.6,103.6,16,61,3.8,0,0,0,6,13,0,1,23:12,16,7-8,15,1.0,28,442,369,73,3.0,-5.0,-0.86,-1.12,patriots
15,17,Sun,January 1,home,dolphins,23,21,20,33,173,2,0,3,31,6.2,4.8,60.6,94.6,21,76,3.6,0,1,1,5,13,0,1,26:12,17,8-8,14,,21,333,247,86,2.0,-1.2,1.36,1.03,patriots
16,18,Sun,January 8,away,bills,23,35,26,40,234,3,3,1,9,6.1,5.7,65.0,74.4,23,107,4.7,0,1,1,4,13,2,2,32:37,18,8-9,20,3.0,18,327,237,90,3.0,-2.57,-5.28,-7.7,patriots
