,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,chargers,19,24,22,37,256,2,3,6,39,8.0,6.0,59.5,64.7,13,64,4.9,0,2,2,5,11,1,2,27:28,1,0-1,18,3.0,18,355,279,76,,-2.73,-6.3,1.95,raiders
1,2,Sun,September 18,home,cardinals,23,29,25,39,244,2,0,1,8,6.5,6.1,64.1,98.7,21,80,3.8,0,3,3,6,11,0,0,29:47,2,0-2,20,1.0,28,413,270,143,1.0,4.86,-12.0,-1.75,raiders
2,3,Sun,September 25,away,titans,22,24,27,45,300,2,1,1,7,6.8,6.5,60.0,85.4,19,96,5.1,0,3,3,1,12,3,3,30:45,3,0-3,24,1.0,19,361,252,109,1.0,9.09,-9.1,-4.28,raiders
3,4,Sun,October 2,home,broncos,32,23,21,34,173,0,0,2,15,5.5,4.8,61.8,74.8,38,212,5.6,2,4,4,7,14,0,0,34:52,4,1-3,25,,12,299,214,85,1.0,12.04,6.65,-6.95,raiders
4,5,Mon,October 10,away,chiefs,29,30,19,30,223,2,0,2,18,8.0,7.0,63.3,108.1,24,155,6.5,1,3,3,5,12,1,2,28:53,5,1-4,18,,29,368,265,103,,11.65,-14.21,-0.35,raiders
5,7,Sun,October 23,home,texans,38,20,21,27,236,1,0,1,5,8.9,8.4,77.8,115.4,27,164,6.1,3,1,1,4,9,1,1,30:43,7,2-4,25,,21,404,296,108,1.0,23.48,-5.28,-1.03,raiders
6,8,Sun,October 30,away,saints,0,24,23,39,145,0,1,4,28,4.4,3.4,59.0,56.0,13,38,2.9,0,0,0,5,14,2,3,25:09,8,2-5,13,1.0,22,367,231,136,,-8.49,-16.76,6.72,raiders
7,9,Sun,November 6,away,jaguars,20,27,21,36,248,2,0,2,11,7.2,6.5,58.3,97.9,19,73,3.8,0,2,2,3,12,1,3,27:35,9,2-6,16,1.0,22,403,235,168,1.0,-0.43,-13.11,2.69,raiders
8,10,Sun,November 13,home,colts,20,25,24,38,232,2,0,2,16,6.5,5.8,63.2,97.7,24,77,3.2,1,0,0,5,13,1,3,30:59,10,2-7,18,,20,415,208,207,1.0,-0.17,-10.87,8.65,raiders
9,11,Sun,November 20,away,broncos,22,16,23,37,298,2,0,1,9,8.3,7.8,62.2,105.5,24,109,4.5,0,3,4,3,11,0,0,32:39,11,3-7,20,,19,320,226,94,,5.95,-4.11,4.44,raiders
10,12,Sun,November 27,away,seahawks,40,34,25,36,293,3,2,1,2,8.2,7.9,69.4,98.5,40,283,7.1,2,2,3,8,14,1,2,37:35,12,4-7,27,2.0,22,372,307,65,2.0,16.24,-6.66,-6.76,raiders
11,13,Sun,December 4,home,chargers,27,20,16,30,250,2,1,0,0,8.3,8.3,53.3,89.6,29,154,5.3,1,2,3,3,10,0,0,29:16,13,5-7,21,2.0,22,386,314,72,1.0,5.34,-0.15,-1.56,raiders
12,14,Thu,December 8,away,rams,16,17,11,20,137,0,2,0,0,6.9,6.9,55.0,36.9,38,165,4.3,1,3,3,5,13,1,1,30:21,14,5-8,17,2.0,20,282,211,71,1.0,0.55,-5.59,4.09,raiders
13,15,Sun,December 18,home,patriots,30,24,20,38,211,3,1,3,20,6.1,5.1,52.6,84.4,23,97,4.2,0,1,1,5,14,1,1,33:16,15,6-8,18,1.0,19,318,112,206,1.0,-2.33,7.82,2.58,raiders
14,16,Sat,December 24,away,steelers,10,13,16,30,143,1,3,3,31,5.8,4.3,53.3,37.9,19,58,3.1,0,1,1,6,12,0,0,27:21,16,6-9,13,3.0,19,350,244,106,1.0,-9.12,-2.33,5.58,raiders
15,17,Sun,January 1,home,49ers,34,37,23,34,365,3,2,0,0,10.7,10.7,67.6,108.1,32,135,4.2,1,2,2,4,10,0,1,32:00,17,6-10,29,2.0,27,454,284,170,1.0,13.83,-23.25,6.49,raiders
16,18,Sat,January 7,home,chiefs,13,31,22,36,180,1,1,6,39,6.1,4.3,61.1,71.5,25,99,4.0,0,2,2,8,16,0,2,34:13,18,6-11,21,2.0,21,349,181,168,,-5.67,-16.83,1.37,raiders
