,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Thu,September 8,home,bills,10,31,29,41,191,1,3,7,49,5.9,4.0,70.7,58.1,18,52,2.9,0,1,1,6,13,2,3,28:46,1,0-1,19,3.0,23,413,292,121,4.0,-10.29,-13.89,3.96,rams
1,2,Sun,September 18,home,falcons,31,27,27,36,272,3,2,1,0,7.6,7.4,75.0,100.7,26,65,2.5,1,1,1,6,10,0,1,30:24,2,1-1,24,3.0,17,261,171,90,3.0,8.46,3.49,-8.11,rams
2,3,Sun,September 25,away,cardinals,20,12,18,25,239,0,0,1,10,10.0,9.2,72.0,101.9,20,100,5.0,2,2,2,3,8,0,0,26:04,3,2-1,15,1.0,23,365,295,70,,5.31,-0.8,5.72,rams
3,4,Mon,October 3,away,49ers,9,24,32,48,200,0,1,7,54,5.3,3.6,66.7,66.3,18,57,3.2,0,3,3,5,15,2,2,34:34,4,2-2,21,2.0,13,327,239,88,,-11.56,-10.05,7.93,rams
4,5,Sun,October 9,home,cowboys,10,22,29,44,285,1,1,5,35,7.3,5.8,65.9,82.1,15,38,2.5,0,1,2,6,17,1,1,30:30,5,2-3,14,3.0,10,239,76,163,,-11.11,8.44,-6.98,rams
5,6,Sun,October 16,home,panthers,24,10,26,33,249,1,1,1,4,7.7,7.3,78.8,95.6,29,111,3.8,2,1,1,6,12,0,0,37:05,6,3-3,22,1.0,8,203,110,93,1.0,3.51,11.74,-2.53,rams
6,8,Sun,October 30,home,49ers,14,31,22,33,167,1,0,2,20,5.7,4.8,66.7,88.8,21,56,2.7,1,0,0,8,13,0,0,30:04,8,3-4,16,,22,368,257,111,,3.37,-23.18,2.48,rams
7,9,Sun,November 6,away,buccaneers,13,16,13,27,138,1,0,4,27,6.1,4.5,48.1,75.8,24,68,2.8,0,2,2,4,15,0,0,28:44,9,3-5,9,,18,323,272,51,,-10.99,8.87,-1.37,rams
8,10,Sun,November 13,home,cardinals,17,27,25,37,190,1,1,3,19,5.6,4.8,67.6,77.5,20,66,3.3,1,1,1,3,11,2,2,27:59,10,3-6,18,2.0,18,298,220,78,,-5.36,-5.83,0.48,rams
9,11,Sun,November 20,away,saints,20,27,16,28,188,2,0,4,35,8.0,5.9,57.1,101.5,30,148,4.9,0,2,2,5,14,1,2,28:53,11,3-7,17,,19,323,235,88,,3.06,-8.99,-2.98,rams
10,12,Sun,November 27,away,chiefs,10,26,14,24,82,1,2,3,24,4.4,3.0,58.3,44.1,28,116,4.1,0,1,1,5,13,3,3,27:34,12,3-8,13,2.0,29,437,320,117,2.0,-9.01,-13.96,8.76,rams
11,13,Sun,December 4,home,seahawks,23,27,14,26,148,0,2,4,30,6.8,4.9,53.8,38.6,33,171,5.2,2,3,3,4,12,1,2,29:07,13,3-9,20,2.0,25,438,348,90,2.0,4.46,-12.57,3.11,rams
12,14,Thu,December 8,home,raiders,17,16,22,35,211,1,0,4,19,6.6,5.4,62.9,89.1,22,71,3.2,1,1,2,4,12,1,1,29:39,14,4-9,20,1.0,17,302,137,165,2.0,5.59,-0.55,-4.09,rams
13,15,Mon,December 19,away,packers,12,24,12,21,84,1,1,5,27,5.3,3.2,57.1,62.4,17,72,4.2,0,2,2,4,11,0,0,22:41,15,4-10,13,1.0,27,345,207,138,2.0,-1.29,-13.03,-0.81,rams
14,16,Sun,December 25,home,broncos,51,14,24,28,230,2,0,0,0,8.2,8.2,85.7,124.7,36,158,4.4,3,3,3,6,10,1,1,36:35,16,5-10,26,,18,323,219,104,4.0,22.61,13.18,1.14,rams
15,17,Sun,January 1,away,chargers,10,31,11,19,111,0,0,3,21,6.9,5.0,57.9,74.7,26,166,6.4,1,1,1,4,11,0,0,28:08,17,5-11,12,1.0,22,431,239,192,,-0.47,-21.57,0.25,rams
16,18,Sun,January 8,away,seahawks,16,19,13,26,123,0,1,5,24,5.7,4.0,50.0,47.4,28,146,5.2,1,3,3,4,14,1,1,29:55,18,5-12,14,1.0,22,402,205,197,2.0,-3.8,3.11,-2.32,rams
