,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,jets,24,9,17,30,211,3,1,2,2,7.1,6.6,56.7,98.1,21,63,3.0,0,1,1,5,13,0,0,27:30,1,1-0,13,1.0,24,380,297,83,2.0,3.65,8.07,5.04,ravens
1,2,Sun,September 18,home,dolphins,38,42,21,29,318,3,0,0,0,11.0,11.0,72.4,142.6,25,155,6.2,1,1,1,3,10,1,3,25:13,2,1-1,23,,27,547,461,86,2.0,20.31,-32.0,7.09,ravens
2,3,Sun,September 25,away,patriots,37,26,18,29,206,4,1,4,12,7.5,6.2,62.1,108.6,26,188,7.2,1,1,1,5,11,0,0,30:36,3,2-1,19,2.0,22,447,302,145,4.0,11.67,-3.5,3.18,ravens
3,4,Sun,October 2,home,bills,20,23,20,29,134,1,2,2,10,5.0,4.3,69.0,61.6,33,162,4.9,1,2,2,6,13,1,2,38:10,4,2-2,22,2.0,22,326,201,125,2.0,-2.66,-2.1,1.69,ravens
4,5,Sun,October 9,home,bengals,19,17,19,32,170,1,1,1,4,5.4,5.2,59.4,71.1,28,155,5.5,0,4,4,5,11,0,1,29:59,5,3-2,22,1.0,20,291,190,101,1.0,3.89,-3.22,1.19,ravens
5,6,Sun,October 16,away,giants,20,24,17,32,195,1,1,2,15,6.6,5.7,53.1,69.1,24,211,8.8,1,2,3,4,10,0,0,28:08,6,3-3,23,2.0,18,238,155,83,1.0,6.0,-4.93,-8.06,ravens
6,7,Sun,October 23,home,browns,23,20,9,16,94,0,0,3,26,7.5,4.9,56.3,73.4,44,160,3.6,2,3,3,7,15,2,2,34:04,7,4-3,17,1.0,18,336,223,113,2.0,1.58,-6.61,7.18,ravens
7,8,Thu,October 27,away,buccaneers,27,22,27,38,222,2,0,3,16,6.3,5.4,71.1,103.2,33,231,7.0,1,2,3,6,13,0,1,38:23,8,5-3,27,,20,349,305,44,1.0,11.24,-8.68,6.73,ravens
8,9,Mon,November 7,away,saints,27,13,12,22,131,1,0,3,2,6.0,5.2,54.5,87.5,40,188,4.7,2,2,2,9,15,0,0,37:47,9,6-3,23,,13,243,195,48,1.0,11.91,3.99,-1.6,ravens
9,11,Sun,November 20,home,panthers,13,3,24,33,193,0,1,3,16,6.3,5.4,72.7,74.4,30,115,3.8,1,2,2,6,15,0,0,33:14,11,7-3,19,1.0,13,205,169,36,3.0,-5.63,20.39,-3.58,ravens
10,12,Sun,November 27,away,jaguars,27,28,16,32,253,1,0,1,1,7.9,7.7,50.0,87.1,35,162,4.6,1,4,5,8,14,0,1,32:39,12,7-4,24,2.0,18,332,294,38,1.0,8.53,-5.31,-1.38,ravens
11,13,Sun,December 4,home,broncos,10,9,30,37,182,0,2,4,16,5.4,4.4,81.1,64.6,28,103,3.7,1,1,1,3,13,3,3,32:29,13,8-4,20,2.0,12,272,184,88,,-2.33,4.43,-1.45,ravens
12,14,Sun,December 11,away,steelers,16,14,11,17,94,0,0,2,10,6.1,4.9,64.7,79.0,42,215,5.1,1,3,3,4,13,1,2,32:59,14,9-4,18,,23,329,264,65,3.0,1.06,-7.51,6.16,ravens
13,15,Sat,December 17,away,browns,3,13,17,30,126,0,1,3,12,4.6,3.8,56.7,52.9,28,198,7.1,0,1,3,5,12,0,3,26:52,15,9-5,17,2.0,19,283,140,143,,-7.94,-2.64,-0.26,ravens
14,16,Sat,December 24,home,falcons,17,9,9,17,115,1,0,0,0,6.8,6.8,52.9,94.0,34,184,5.4,0,3,4,4,12,0,0,27:16,16,10-5,15,,17,327,212,115,1.0,2.18,7.26,-3.42,ravens
15,17,Sun,January 1,home,steelers,13,16,14,21,120,1,1,1,10,6.2,5.5,66.7,77.5,28,120,4.3,0,2,2,5,12,0,0,25:46,17,10-6,15,1.0,22,351,153,198,,-0.15,-9.3,6.66,ravens
16,18,Sun,January 8,away,bengals,16,27,19,44,276,0,2,4,10,6.5,5.8,43.2,45.3,27,110,4.1,1,3,3,6,16,0,2,28:41,18,10-7,20,4.0,15,257,202,55,1.0,-13.37,9.98,-2.37,ravens
17,19,Sun,January 15,away,bengals,17,24,17,29,209,2,1,2,17,7.8,6.7,58.6,89.6,35,155,4.4,0,1,1,3,11,2,3,32:26,19,10-8,23,2.0,18,234,183,51,1.0,-1.77,-0.7,-2.72,ravens
