,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,falcons,27,26,23,34,234,2,0,4,35,7.9,6.2,67.6,106.7,19,151,7.9,1,2,3,4,13,0,0,26:16,1,1-0,18,1.0,26,416,215,201,2.0,4.62,-7.5,-0.51,saints
1,2,Sun,September 18,home,buccaneers,10,20,25,40,208,1,3,6,28,5.9,4.5,62.5,52.9,20,100,5.0,0,1,1,4,13,0,1,30:18,2,1-1,18,5.0,13,260,188,72,1.0,-18.41,9.2,-2.71,saints
2,3,Sun,September 25,away,panthers,14,22,25,41,342,1,2,1,11,8.6,8.1,61.0,75.5,22,84,3.8,1,0,2,5,13,0,0,29:50,3,1-2,19,3.0,12,293,148,145,,-4.57,9.01,-11.38,saints
3,4,Sun,October 2,home,vikings,25,28,20,28,227,1,0,2,9,8.4,7.6,71.4,107.3,27,111,4.1,2,1,2,4,10,1,1,27:47,4,1-3,19,2.0,23,344,263,81,1.0,7.36,-6.41,-2.69,saints
4,5,Sun,October 9,home,seahawks,39,32,17,25,203,2,1,1,6,8.4,7.8,68.0,102.6,48,235,4.9,3,1,1,8,14,0,0,37:35,5,2-3,26,2.0,15,396,245,151,1.0,15.05,-4.57,-0.32,saints
5,6,Sun,October 16,home,bengals,26,30,19,36,171,1,0,1,7,4.9,4.6,52.8,75.1,34,228,6.7,1,4,4,8,17,0,1,32:14,6,2-4,22,,21,348,273,75,1.0,9.06,-17.18,2.4,saints
6,7,Thu,October 20,away,cardinals,34,42,32,49,409,4,3,0,0,8.3,8.3,65.3,93.0,22,85,3.9,0,2,2,6,13,1,1,29:02,7,2-5,25,3.0,21,326,189,137,,5.93,-13.74,-1.75,saints
7,8,Sun,October 30,home,raiders,24,0,23,31,231,2,0,0,0,7.5,7.5,74.2,116.5,32,136,4.3,1,1,2,7,12,0,1,34:51,8,3-5,22,,13,183,145,38,1.0,16.76,8.49,-6.72,saints
8,9,Mon,November 7,home,ravens,13,27,20,30,195,1,1,4,28,7.4,5.7,66.7,81.9,15,48,3.2,0,2,2,3,11,1,1,22:13,9,3-6,13,1.0,23,319,131,188,,-3.99,-11.91,1.6,saints
9,10,Sun,November 13,away,steelers,10,20,17,28,157,1,2,2,17,6.2,5.2,60.7,58.2,15,29,1.9,0,1,1,3,12,0,1,21:04,10,3-7,10,2.0,28,379,162,217,,-10.6,-13.42,11.01,saints
10,11,Sun,November 20,home,rams,27,20,22,28,235,3,0,4,39,9.8,7.3,78.6,137.4,24,88,3.7,0,2,2,4,11,0,0,31:07,11,4-7,19,,17,336,188,148,,8.99,-3.06,2.98,saints
11,12,Sun,November 27,away,49ers,0,13,18,30,197,0,0,1,7,6.8,6.4,60.0,79.4,22,63,2.9,0,0,1,4,11,0,1,25:10,12,4-8,14,2.0,21,317,221,96,,-8.15,-2.05,-2.22,saints
12,13,Mon,December 5,away,buccaneers,16,17,21,29,232,1,0,2,18,8.6,7.5,72.4,107.3,25,66,2.6,0,3,3,5,14,0,0,29:55,13,4-9,14,,25,350,274,76,2.0,-0.04,-2.62,2.46,saints
13,15,Sun,December 18,home,falcons,21,18,13,19,214,3,0,2,17,12.2,10.2,68.4,145.6,34,134,3.9,0,0,0,5,11,0,1,29:04,15,5-9,17,1.0,21,320,89,231,1.0,6.38,-8.41,1.86,saints
14,16,Sat,December 24,away,browns,17,10,8,15,92,0,1,0,0,6.1,6.1,53.3,44.3,39,152,3.9,2,1,1,7,15,0,0,29:14,16,6-9,14,1.0,15,249,125,124,1.0,-4.01,12.78,-2.04,saints
15,17,Sun,January 1,away,eagles,20,10,20,24,184,0,1,7,45,9.5,5.9,83.3,81.3,35,129,3.7,1,2,2,7,16,1,1,37:04,17,7-9,19,1.0,11,313,246,67,1.0,-2.95,12.38,0.32,saints
16,18,Sun,January 8,home,panthers,7,10,15,25,161,1,0,1,10,6.8,6.2,60.0,92.2,32,143,4.5,0,0,2,4,13,0,1,29:05,18,7-10,16,1.0,14,203,32,171,2.0,-4.13,8.41,-7.85,saints
