,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Mon,September 12,home,broncos,17,16,23,28,177,2,0,2,18,7.0,5.9,82.1,116.8,19,76,4.0,0,1,1,6,11,0,1,26:21,1,1-0,19,1.0,20,433,330,103,2.0,4.1,-9.94,6.84,seahawks
1,2,Sun,September 18,away,49ers,7,27,24,31,180,0,2,2,17,6.4,5.5,77.4,63.9,14,36,2.6,0,0,0,2,7,0,0,21:40,2,1-1,14,3.0,25,373,184,189,,-9.18,-16.39,7.67,seahawks
2,3,Sun,September 25,home,falcons,23,27,32,44,308,2,1,2,17,7.4,6.7,72.7,97.5,23,112,4.9,0,3,3,9,17,2,3,31:46,3,1-2,23,1.0,24,386,207,179,2.0,15.09,-20.84,-1.2,seahawks
3,4,Sun,October 2,away,lions,48,45,23,30,320,2,0,0,0,10.7,10.7,76.7,132.6,33,235,7.1,3,2,3,9,12,0,0,33:06,4,2-2,27,1.0,27,520,375,145,2.0,32.93,-22.12,-3.99,seahawks
4,5,Sun,October 9,away,saints,32,39,16,25,245,3,0,3,23,10.7,8.8,64.0,135.8,21,151,7.2,1,2,2,1,9,0,1,22:25,5,2-3,15,1.0,26,438,203,235,2.0,4.57,-15.05,0.32,seahawks
5,6,Sun,October 16,home,cardinals,19,9,20,31,160,0,0,5,37,6.4,4.4,64.5,77.4,30,136,4.5,1,4,4,4,14,0,1,29:16,6,3-3,19,1.0,15,315,171,144,2.0,-8.22,14.01,5.25,seahawks
6,7,Sun,October 23,away,chargers,37,23,20,27,191,2,1,2,19,7.8,6.6,74.1,102.5,34,213,6.3,2,3,3,5,9,0,0,33:57,7,4-3,24,2.0,21,329,276,53,2.0,12.13,4.6,-1.1,seahawks
7,8,Sun,October 30,home,giants,27,13,23,34,190,2,0,3,22,6.2,5.1,67.6,101.3,25,87,3.5,1,2,2,3,13,2,2,26:26,8,5-3,19,1.0,14,225,147,78,2.0,-2.79,10.8,8.31,seahawks
8,9,Sun,November 6,away,cardinals,31,21,26,34,263,2,1,2,12,8.1,7.3,76.5,105.4,34,158,4.6,2,1,1,10,15,0,1,34:31,9,6-3,27,1.0,15,262,140,122,1.0,10.67,5.02,0.9,seahawks
9,10,Sun,November 13,away,buccaneers,16,21,23,33,244,2,0,3,31,8.3,6.8,69.7,111.2,14,39,2.8,0,1,1,1,9,2,2,23:05,10,6-4,19,1.0,26,419,258,161,2.0,-0.15,-13.2,7.78,seahawks
10,12,Sun,November 27,home,raiders,34,40,27,37,307,2,1,3,21,8.9,7.7,73.0,104.2,23,65,2.8,2,2,2,3,9,0,0,28:05,12,6-5,22,2.0,27,576,293,283,2.0,6.66,-16.24,6.76,seahawks
11,13,Sun,December 4,away,rams,27,23,28,39,348,3,1,4,19,9.4,8.1,71.8,114.0,22,90,4.1,0,2,2,5,10,0,0,30:53,13,7-5,25,2.0,20,319,148,171,2.0,12.57,-4.46,-3.11,seahawks
12,14,Sun,December 11,home,panthers,24,30,21,36,241,3,2,3,23,7.3,6.2,58.3,83.2,14,46,3.3,0,1,1,6,13,1,1,20:44,14,7-6,16,2.0,24,328,105,223,,1.49,-9.49,-0.23,seahawks
13,15,Thu,December 15,home,49ers,13,21,31,44,207,1,0,3,31,5.4,4.4,70.5,88.0,14,70,5.0,0,2,2,4,13,0,0,26:59,15,7-7,16,1.0,15,381,211,170,,-11.24,-9.75,8.96,seahawks
14,16,Sat,December 24,away,chiefs,10,24,25,40,200,1,1,2,15,5.4,4.8,62.5,72.9,31,133,4.3,0,1,1,2,14,3,6,35:02,16,7-8,19,1.0,14,297,220,77,,-11.64,-3.1,2.23,seahawks
15,17,Sun,January 1,home,jets,23,6,18,29,148,2,0,4,35,6.3,4.5,62.1,98.1,38,198,5.2,0,3,4,5,15,1,2,33:38,17,8-8,20,,20,279,204,75,3.0,3.31,16.78,-4.05,seahawks
16,18,Sun,January 8,home,rams,19,16,19,31,205,1,2,3,8,6.9,6.0,61.3,64.6,36,197,5.5,0,4,5,1,11,1,1,35:31,18,9-8,22,2.0,14,269,123,146,1.0,-3.11,3.8,2.32,seahawks
17,19,Sat,January 14,away,49ers,23,41,25,35,228,2,1,3,25,7.2,6.0,71.4,95.9,25,104,4.2,1,1,1,6,13,1,1,27:14,19,9-9,22,2.0,24,505,324,181,,6.41,-27.6,0.62,seahawks
