,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,bengals,23,20,21,38,192,1,0,1,2,5.1,4.9,55.3,78.0,22,75,3.4,0,3,4,4,15,0,0,26:18,1,1-0,13,,32,432,299,133,5.0,-8.41,7.49,4.85,steelers
1,2,Sun,September 18,home,patriots,14,17,21,33,152,1,1,3,16,5.1,4.2,63.6,71.8,22,91,4.1,0,2,2,8,15,0,0,26:24,2,1-1,16,2.0,18,376,252,124,1.0,-3.44,-6.14,3.25,steelers
2,3,Thu,September 22,away,browns,17,29,20,32,204,0,0,1,3,6.5,6.2,62.5,80.7,22,104,4.7,2,1,2,1,9,0,0,23:51,3,1-2,20,1.0,22,376,205,171,,-1.19,-10.79,-0.62,steelers
3,4,Sun,October 2,home,jets,20,24,17,26,178,0,4,3,26,7.8,6.1,65.4,45.5,31,119,3.8,2,2,2,6,12,1,1,30:01,4,1-3,20,4.0,19,348,250,98,2.0,-2.55,1.46,-2.91,steelers
4,5,Sun,October 9,away,bills,3,38,34,52,310,0,1,3,17,6.3,5.6,65.4,73.4,17,54,3.2,0,1,3,5,15,0,3,36:08,5,1-4,23,2.0,21,552,432,120,2.0,-9.42,-20.66,-3.54,steelers
5,6,Sun,October 16,home,buccaneers,20,18,20,30,193,2,0,2,18,7.0,6.0,66.7,106.7,29,77,2.7,0,2,2,7,15,1,1,29:59,6,2-4,15,,20,304,229,75,,2.61,-0.17,2.77,steelers
6,7,Sun,October 23,away,dolphins,10,16,32,44,246,1,3,2,11,5.8,5.3,72.7,65.2,23,95,4.1,0,1,1,4,14,2,2,33:16,7,2-5,19,3.0,17,372,261,111,,-6.72,-0.04,2.49,steelers
7,8,Sun,October 30,away,eagles,13,35,27,40,158,1,1,6,38,4.9,3.4,67.5,72.7,24,144,6.0,0,2,2,1,12,4,4,34:18,8,2-6,21,2.0,20,401,290,111,,-4.96,-23.31,2.01,steelers
8,10,Sun,November 13,home,saints,20,10,18,30,162,0,0,6,37,6.6,4.5,60.0,74.6,43,217,5.0,2,2,4,9,17,1,1,38:56,10,3-6,28,,10,186,157,29,2.0,13.42,10.6,-11.01,steelers
9,11,Sun,November 20,home,bengals,30,37,25,42,249,1,0,2,16,6.3,5.7,59.5,84.3,24,102,4.3,2,3,3,8,17,0,1,28:24,11,3-7,17,,22,408,346,62,2.0,3.17,-9.45,-2.27,steelers
10,12,Mon,November 28,away,colts,24,17,20,28,151,0,0,3,23,6.2,4.9,71.4,84.1,36,172,4.8,2,3,3,7,14,0,0,34:22,12,4-7,22,,19,290,180,110,2.0,7.95,3.22,-7.37,steelers
11,13,Sun,December 4,away,falcons,19,16,16,28,197,1,0,0,0,7.0,7.0,57.1,90.9,37,154,4.2,0,4,4,6,12,0,0,32:55,13,5-7,22,,18,306,160,146,1.0,9.6,-0.33,-1.33,steelers
12,14,Sun,December 11,home,ravens,14,16,22,31,264,1,3,2,12,8.9,8.0,71.0,67.9,20,65,3.3,1,0,1,4,8,0,0,27:01,14,5-8,23,3.0,18,309,94,215,,7.51,-1.06,-6.16,steelers
13,15,Sun,December 18,away,panthers,24,16,17,22,169,0,0,1,10,8.1,7.3,77.3,98.5,45,156,3.5,3,1,1,12,16,0,0,36:11,15,6-8,22,,12,209,188,21,,12.16,-3.72,1.58,steelers
14,16,Sat,December 24,home,raiders,13,10,26,39,244,1,1,0,0,6.3,6.3,66.7,81.6,27,106,3.9,0,2,4,5,14,2,2,32:39,16,7-8,19,1.0,13,201,143,58,3.0,2.33,9.12,-5.58,steelers
15,17,Sun,January 1,away,ravens,16,13,15,27,153,1,0,2,15,6.2,5.3,55.6,84.3,41,198,4.8,0,3,4,10,16,0,0,34:14,17,8-8,22,,15,240,120,120,1.0,9.3,0.15,-6.66,steelers
16,18,Sun,January 8,home,browns,28,14,13,29,189,1,0,1,6,6.7,6.3,44.8,78.1,37,144,3.9,2,2,2,9,15,0,0,30:56,18,9-8,23,1.0,18,307,173,134,2.0,10.81,-3.47,2.18,steelers
