,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,colts,20,20,23,37,222,2,0,3,18,6.5,5.6,62.2,96.9,28,77,2.8,0,2,2,5,15,0,0,30:23,1,0-0-1,20,1.0,33,517,340,177,2.0,-2.14,-5.67,9.43,texans
1,2,Sun,September 18,away,broncos,9,16,19,38,154,0,0,3,23,4.7,3.8,50.0,60.6,18,80,4.4,0,3,3,2,13,1,3,27:27,2,0-1-1,15,,20,350,201,149,1.0,-12.19,-3.38,5.2,texans
2,3,Sun,September 25,away,bears,20,23,20,32,237,1,2,1,8,7.7,7.2,62.5,69.4,24,92,3.8,1,2,2,3,12,1,1,28:38,3,0-2-1,17,2.0,17,363,82,281,2.0,-1.75,-2.69,1.18,texans
3,4,Sun,October 2,home,chargers,24,34,26,35,215,2,2,4,31,7.0,5.5,74.3,84.8,14,131,9.4,1,1,2,4,12,0,2,28:21,4,0-3-1,16,2.0,22,419,338,81,1.0,2.14,-15.96,4.62,texans
4,5,Sun,October 9,away,jaguars,13,6,16,24,132,0,0,1,8,5.8,5.3,66.7,80.6,31,116,3.7,1,2,2,5,13,0,0,31:47,5,1-3-1,15,,22,422,286,136,2.0,-2.0,2.39,3.89,texans
5,7,Sun,October 23,away,raiders,20,38,28,41,296,2,1,1,6,7.4,7.0,68.3,95.2,23,108,4.7,0,2,3,9,15,1,2,29:17,7,1-4-1,21,1.0,25,400,236,164,,5.28,-23.48,1.03,texans
6,8,Sun,October 30,home,titans,10,17,17,30,118,1,1,3,34,5.1,3.6,56.7,62.9,18,43,2.4,0,1,1,2,14,2,2,25:12,8,1-5-1,10,1.0,16,354,40,314,2.0,-14.53,-2.29,7.78,texans
7,9,Thu,November 3,home,eagles,17,29,13,22,135,2,2,3,19,7.0,5.4,59.1,69.3,32,168,5.3,0,1,1,2,9,0,0,31:47,9,1-6-1,20,2.0,24,360,217,143,1.0,1.89,-17.84,2.38,texans
8,10,Sun,November 13,away,giants,16,24,22,37,286,1,1,4,33,8.6,7.0,59.5,81.6,19,101,5.3,0,3,3,3,10,0,0,26:40,10,1-7-1,22,2.0,19,367,176,191,,0.4,-10.29,0.41,texans
9,11,Sun,November 20,home,commanders,10,23,19,33,127,0,2,5,42,5.1,3.3,57.6,40.8,16,21,1.3,1,1,1,2,13,4,4,25:04,11,1-8-1,11,2.0,20,344,191,153,,-15.79,-4.31,2.12,texans
10,12,Sun,November 27,away,dolphins,15,30,26,39,174,1,2,5,41,5.5,4.0,66.7,63.4,14,36,2.6,1,1,1,2,13,1,1,27:33,12,1-9-1,14,3.0,25,339,273,66,1.0,-22.74,1.9,3.97,texans
11,13,Sun,December 4,home,browns,14,27,20,39,201,1,2,0,0,5.2,5.2,51.3,53.5,22,82,3.7,0,2,2,1,12,1,2,27:44,13,1-10-1,16,4.0,14,304,130,174,2.0,-23.84,13.96,-5.52,texans
12,14,Sun,December 11,away,cowboys,23,27,20,27,213,1,1,0,0,7.9,7.9,74.1,93.6,37,114,3.1,1,3,3,7,15,0,2,33:14,14,1-11-1,16,2.0,21,404,277,127,3.0,-8.28,-1.61,6.35,texans
13,15,Sun,December 18,home,chiefs,24,30,14,29,125,2,0,1,4,4.4,4.2,48.3,83.3,28,94,3.4,1,1,1,4,10,0,0,27:25,15,1-12-1,18,1.0,33,502,313,189,2.0,2.21,-13.62,6.34,texans
14,16,Sat,December 24,away,titans,19,14,20,32,215,1,1,1,3,6.8,6.5,62.5,79.6,30,70,2.3,0,2,2,5,14,0,1,33:03,16,2-12-1,15,1.0,16,272,88,184,3.0,-5.71,10.96,-2.1,texans
15,17,Sun,January 1,home,jaguars,3,31,25,44,193,0,0,2,18,4.8,4.2,56.8,67.7,21,84,4.0,0,1,1,6,17,0,4,30:30,17,2-13-1,13,1.0,20,337,168,169,2.0,-23.38,-4.68,4.1,texans
16,18,Sun,January 8,away,colts,32,31,24,40,301,3,2,1,10,7.8,7.3,60.0,87.6,23,59,2.6,0,1,1,5,14,2,2,26:07,18,3-13-1,18,3.0,25,398,202,196,3.0,-0.16,-3.77,3.89,texans
