,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,giants,20,21,20,33,266,2,0,1,0,8.1,7.8,60.6,106.4,26,93,3.6,0,2,3,3,11,0,0,31:06,1,0-1,19,1.0,19,394,156,238,2.0,5.97,-3.72,-2.44,titans
1,2,Mon,September 19,away,bills,7,41,12,24,107,0,2,2,16,5.1,4.1,50.0,27.6,27,80,3.0,1,0,0,4,12,1,1,28:26,2,0-2,12,4.0,23,414,313,101,,-18.01,-17.69,-1.55,titans
2,3,Sun,September 25,home,raiders,24,22,19,27,252,1,1,1,12,9.8,9.0,70.4,96.5,27,109,4.0,2,1,1,5,10,0,1,29:15,3,1-2,19,1.0,24,396,300,96,1.0,9.1,-9.09,4.28,titans
3,4,Sun,October 2,away,colts,24,17,17,21,116,2,0,3,21,6.5,4.8,81.0,121.4,28,127,4.5,1,1,1,5,12,0,0,26:03,4,2-2,19,,21,365,327,38,3.0,5.33,-3.36,6.98,titans
4,5,Sun,October 9,away,commanders,21,17,15,25,136,1,0,5,45,7.2,4.5,60.0,88.1,32,105,3.3,2,0,0,4,14,1,1,32:40,5,3-2,15,,17,385,342,43,1.0,0.25,-1.03,3.63,titans
5,7,Sun,October 23,home,colts,19,10,13,20,116,0,0,2,16,6.6,5.3,65.0,80.4,35,138,3.9,0,4,4,5,12,0,0,31:33,7,4-2,16,1.0,17,292,227,65,3.0,-4.47,12.48,2.52,titans
6,8,Sun,October 30,away,texans,17,10,6,10,40,0,1,3,15,5.5,3.1,60.0,29.2,45,314,7.0,2,1,2,4,12,1,1,34:48,8,5-2,16,2.0,10,161,118,43,1.0,2.29,14.53,-7.78,titans
7,9,Sun,November 6,away,chiefs,17,20,5,16,57,0,0,3,23,5.0,3.0,31.3,43.0,29,172,5.9,2,1,1,1,11,0,1,26:23,9,5-3,9,,29,499,422,77,1.0,-3.85,-5.59,5.59,titans
8,10,Sun,November 13,home,broncos,17,10,19,36,244,2,0,1,11,7.1,6.6,52.8,92.8,23,63,2.7,0,1,1,6,16,0,0,26:03,10,6-3,14,1.0,18,313,248,65,1.0,-3.15,5.39,4.06,titans
9,11,Thu,November 17,away,packers,27,17,24,29,320,3,1,3,17,11.6,10.0,82.8,132.8,32,88,2.8,1,0,0,7,13,1,2,32:28,11,7-3,21,1.0,15,271,215,56,,15.39,0.61,-2.77,titans
10,12,Sun,November 27,home,bengals,16,20,22,34,281,0,0,1,10,8.6,8.0,64.7,90.4,21,63,3.0,0,3,4,7,16,0,0,28:14,12,7-4,15,,21,374,266,108,,4.57,-5.39,-5.94,titans
11,13,Sun,December 4,away,eagles,10,35,16,26,122,1,0,6,35,6.0,3.8,61.5,85.7,21,87,4.1,0,1,1,4,14,1,2,27:27,13,7-5,11,,26,453,386,67,,-8.95,-25.58,6.75,titans
12,14,Sun,December 11,home,jaguars,22,36,25,38,227,2,1,4,27,6.7,5.4,65.8,88.4,20,137,6.9,1,0,0,5,10,0,1,27:08,14,7-6,22,4.0,22,428,368,60,,-3.01,-13.06,3.47,titans
13,15,Sun,December 18,away,chargers,14,17,18,26,157,0,1,4,28,7.1,5.2,69.2,68.9,27,127,4.7,2,0,1,3,11,0,0,30:12,15,7-7,17,1.0,23,365,291,74,2.0,-2.21,-1.7,1.72,titans
14,16,Sat,December 24,home,texans,14,19,14,23,88,0,2,4,11,4.3,3.3,60.9,32.5,31,184,5.9,2,0,0,4,12,1,2,26:57,16,7-8,16,3.0,15,285,215,70,1.0,-10.96,5.71,2.1,titans
15,17,Thu,December 29,home,cowboys,13,27,20,39,220,1,1,2,12,5.9,5.4,51.3,66.2,24,97,4.0,0,2,2,7,16,1,2,26:34,17,7-9,17,2.0,26,361,274,87,3.0,-5.83,-8.93,1.28,titans
16,18,Sat,January 7,away,jaguars,16,20,20,29,165,1,1,4,14,6.2,5.0,69.0,80.4,39,147,3.8,0,3,3,6,17,2,3,36:12,18,7-10,19,2.0,13,222,203,19,1.0,-9.68,4.3,1.28,titans
