,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,packers,23,7,23,32,269,2,0,1,8,8.7,8.2,71.9,117.8,28,126,4.5,0,3,3,4,13,1,1,31:23,1,1-0,19,,21,338,227,111,2.0,9.99,1.89,1.12,vikings
1,2,Mon,September 19,away,eagles,7,24,27,46,202,1,3,2,19,4.8,4.2,58.7,49.4,11,62,5.6,0,0,0,4,12,0,0,23:46,2,1-1,20,3.0,25,486,323,163,1.0,-7.86,-14.26,7.37,vikings
2,3,Sun,September 25,home,lions,28,24,24,41,250,2,0,1,10,6.3,6.0,58.5,92.5,25,123,4.9,2,0,2,2,9,1,2,25:56,3,2-1,30,1.0,23,416,277,139,1.0,11.58,-8.25,1.93,vikings
3,4,Sun,October 2,away,saints,28,25,26,39,263,1,1,3,23,7.3,6.3,66.7,83.6,25,81,3.2,1,5,5,5,14,1,1,32:13,4,3-1,23,1.0,19,338,227,111,2.0,6.41,-7.36,2.69,vikings
4,5,Sun,October 9,home,bears,29,22,33,42,312,1,1,1,7,7.6,7.3,78.6,95.6,31,117,3.8,3,0,2,12,15,0,0,36:44,5,4-1,29,1.0,14,271,193,78,1.0,21.45,-1.82,-9.74,vikings
5,6,Sun,October 16,away,dolphins,24,16,20,30,156,2,0,3,19,5.8,4.7,66.7,101.5,17,78,4.6,1,1,1,2,12,0,0,24:31,6,5-1,11,,23,458,385,73,3.0,-4.43,8.38,4.75,vikings
6,8,Sun,October 30,home,cardinals,34,26,24,36,208,2,0,3,24,6.4,5.3,66.7,100.2,29,173,6.0,3,0,1,6,13,0,1,29:27,8,6-1,25,1.0,25,375,297,78,3.0,10.22,-2.87,3.71,vikings
7,9,Sun,November 6,away,commanders,20,17,23,41,245,2,1,2,17,6.4,5.7,56.1,79.8,22,56,2.5,0,2,2,7,16,0,0,29:13,9,7-1,17,1.0,18,263,126,137,1.0,-2.12,1.76,2.55,vikings
8,10,Sun,November 13,away,bills,33,30,30,50,334,1,2,4,23,7.1,6.2,60.0,69.9,25,147,5.9,2,2,2,7,17,3,5,35:02,10,8-1,24,2.0,29,486,311,175,4.0,4.8,-1.45,0.39,vikings
9,11,Sun,November 20,home,cowboys,3,40,17,30,110,0,0,7,49,5.3,3.0,56.7,64.6,17,73,4.3,0,1,1,1,11,0,0,22:36,11,8-2,16,1.0,23,458,307,151,,-14.35,-24.31,0.94,vikings
10,12,Thu,November 24,home,patriots,33,26,31,38,301,3,1,1,9,8.2,7.7,81.6,115.0,27,57,2.1,0,2,2,8,15,0,0,36:17,12,9-2,23,1.0,17,409,364,45,,9.14,-11.53,7.59,vikings
11,13,Sun,December 4,home,jets,27,22,21,35,159,1,0,2,14,4.9,4.3,60.0,80.5,29,128,4.4,2,2,2,9,18,1,1,28:22,13,10-2,21,,23,486,366,120,2.0,5.08,-1.01,0.01,vikings
12,14,Sun,December 11,away,lions,23,34,31,41,394,2,0,4,31,10.4,8.8,75.6,121.4,17,22,1.3,1,1,1,4,10,1,2,28:06,14,10-3,23,2.0,23,464,330,134,,7.96,-19.88,0.55,vikings
13,15,Sat,December 17,home,colts,39,36,34,55,426,4,2,7,34,8.4,6.9,61.8,95.0,24,92,3.8,1,1,1,5,15,0,3,33:20,15,11-3,32,3.0,20,341,170,171,1.0,4.19,10.7,-12.83,vikings
14,16,Sat,December 24,home,giants,27,24,34,48,270,3,0,4,29,6.2,5.2,70.8,105.4,19,83,4.4,0,2,2,6,13,0,1,30:47,16,12-3,23,,23,445,319,126,2.0,7.38,-6.2,3.12,vikings
15,17,Sun,January 1,away,packers,17,41,22,35,244,2,3,2,18,7.5,6.6,62.9,66.8,20,102,5.1,0,1,3,5,12,1,2,25:56,17,12-4,18,4.0,20,315,152,163,,-10.2,-9.54,-4.19,vikings
16,18,Sun,January 8,away,bears,29,13,28,33,341,1,1,0,0,10.3,10.3,84.8,107.2,38,141,3.7,2,3,3,6,11,0,0,36:36,18,13-4,28,2.0,13,259,141,118,2.0,16.54,5.75,-5.65,vikings
17,19,Sun,January 15,home,giants,24,31,32,40,271,2,0,0,0,6.8,6.8,80.0,111.6,16,61,3.8,1,1,1,4,10,1,2,26:24,19,13-5,21,,28,431,289,142,,13.86,-24.0,3.74,vikings
