,team,timestamp,tweet_text,userid
0,seahawks,2022-11-27 19:59:42+00:00,"b""Just over an hour till it's go time! #Seahawks vs #Raiders #12s #GoHawks #LetGenoCook #DKAllDay https://t.co/0gKsBhsHIa""",278405280
1,seahawks,2022-11-27 19:59:35+00:00,"b""After having a slow start compared to their recent years, the #Seahawks special team has emerged as one of the NFL's best once again. https://t.co/cKAWyGCBfz""",1515105302764433414
3,seahawks,2022-11-27 19:58:07+00:00,"b'Me, a #Seahawks fan, turning my head during half of \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 vs \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa in a packed \xe2\x9a\xbd\xef\xb8\x8f bar in Boise to see the one screen on the NFL now show the Panthers go up 17-3 over the Broncos. Go Hawks! https://t.co/h2GBc6my3T'",19559177
4,seahawks,2022-11-27 19:58:00+00:00,b'Lots of good news for #Seahawks as Abraham Lucas will start despite an illness and Tre Brown will indeed make his 2022 debut.  https://t.co/VQGKRb6m1K',718393346
5,seahawks,2022-11-27 19:56:23+00:00,b'Go Hawks! #Seahawks https://t.co/A7zcA3zPpw',12139692
6,seahawks,2022-11-27 19:55:04+00:00,"b""The #LetsRideCurse continues with the Darnold ... Stop, Drop, n' Roll for 6!  Lifelong Panthers fans like me understand. #Seahawks""",15519984
7,seahawks,2022-11-27 19:55:00+00:00,b'Tre Brown is active..... do we put him in as starting CB or stick with Michael Jackson?  #Seahawks',1485631388
9,seahawks,2022-11-27 19:53:47+00:00,b'Dedication from the @12s always #Seahawks https://t.co/takmG0IT3y',36143335
10,seahawks,2022-11-27 19:52:57+00:00,b'Panthers are beating the Broncos for the #Seahawks. We appreciate it @Panthers \xf0\x9f\xa4\x9d.',323600864
11,seahawks,2022-11-27 19:52:49+00:00,b'#RaiderNation  @Raiders  if your going to win another Game this season it better be against the #Seahawks',954860017689141248
12,seahawks,2022-11-27 19:51:13+00:00,b'@Seahawks @12s Yeeeeah!  Go! Seahawks!  Go!   Seahawks!   Go....  #Seahawks',1449251635
13,seahawks,2022-11-27 19:50:57+00:00,b'@seahawksPR @Seahawks LJ gonna have a good game. #Seahawks \xf0\x9f\x94\xae',1413231469103751170
15,seahawks,2022-11-27 19:49:38+00:00,b'No injury-related inactives for the #Seahawks in Week 12. https://t.co/sm9LEkyQmX',73823134
16,seahawks,2022-11-27 19:49:12+00:00,b'Cant wait for the #NFL game today. The #Seahawks  vs the #Raiders .   Hope the SEATTLE SEAHAWKS will WIN this game. \xf0\x9f\x9f\xa2 \xf0\x9f\x94\xb5 Only like 1 hour left.',1236305509663363072
18,seahawks,2022-11-27 19:48:51+00:00,b'Inactives and lineup changes for #Seahawks and #Raiders Reminder- postgame show at 5 on @fox13seattle https://t.co/EFkEDXBKW0',168937107
19,seahawks,2022-11-27 19:48:01+00:00,"b'What TV channel is Raiders-Seahawks on today? Live stream, time, how to watch online #SeattleSeahawks #Seahawks #SeahawksNation #yahoo https://t.co/aRGuih5nyd'",3007171770
20,seahawks,2022-11-27 19:47:54+00:00,b'Big game for the boys in blue. Its almost time to #HawkNRoll   #Seahawks vs Raiders at 1:05pm today. $6 Cheeseburgers every Sunday too. Come up and hang with us today! https://t.co/KOLF36ntlf',206322811
22,seahawks,2022-11-27 19:44:02+00:00,b'Calling a sack for this giant of a man today vs. the Raiders!!!  Captain Thigh Arms #99 Al Woods!!! #Seahawks https://t.co/2nAkSNk4ja',15519984
23,seahawks,2022-11-27 19:43:12+00:00,b'With my sweet man at my happy place. Quick photo with no one around! #Seahawks #GoHawks https://t.co/wTSYGE0mCE',18234973
24,seahawks,2022-11-27 19:42:57+00:00,b'Rookie right tackle Abraham Lucas is active for the #Seahawks after being listed as questionable due to illness: https://t.co/aoHaRIqQ9j https://t.co/D9WK956z39',1299080409754542083
25,seahawks,2022-11-27 19:42:55+00:00,b'Rookie right tackle Abraham Lucas is active for the #Seahawks after being listed as questionable due to illness: https://t.co/oTIDgAiQWF',61886767
26,seahawks,2022-11-27 19:42:51+00:00,"b'Let\xe2\x80\x99s go Panthers!! Let\xe2\x80\x99s go Bears!! Only for this week, I will not say let\xe2\x80\x99s go Raiders. \xf0\x9f\xa4\xa3 but after this week, I think all 12s will be supporting these 3 teams to keep on winning. I want that 2nd overall pick baby! #2023NFLDRAFT. #Seahawks https://t.co/eWwxvpyKAQ'",471732838
27,seahawks,2022-11-27 19:41:29+00:00,b'Great day for #Seahawks football! #the12thMan #Seahawks #GoSeahawks #Seattle https://t.co/0hlFHdqVXt',23085884
28,seahawks,2022-11-27 19:41:18+00:00,b'@MysticCindi @warhawker12 @BigRayRoberts @carissajanuary @BigWalt71 @Teresa4ever12 @susaninseattle1 @JenWinters10 @trumplostsuckit @rebecca_lodell @Seahawksrock @love_my_hawks @SPhotog77 @seahawkslegend @SeahawkNerd @Kathy29278486 @MrHawk_12 @amay206 @aileen206 @UK12thMan @NorbCam @BlitzTheSeahawk YESSSS!!! Wreck \xe2\x80\x98em! #GoHawks #Seahawks https://t.co/cEEUrM3u73',251281443
29,seahawks,2022-11-27 19:41:09+00:00,b'Seattle Seahawks Inactives:  Myles Adams Artie Burns Jake Curhan Penny Hart Tony Jones Teez Tabor  #Seahawks  #NFL #NFLTwitter',1113904650107932673
30,seahawks,2022-11-27 19:41:09+00:00,b'Seattle Seahawks Starters On Special Teams:  PK Jason Myers P Michael Dickson H Michael Dickson PR DeeJay Dallas KR DeeJay Dallas LS Carson Tinker  #Seahawks  #NFL #NFLTwitter',1113904650107932673
31,seahawks,2022-11-27 19:41:09+00:00,b'Seattle Seahawks Starters On Defense:  LDE Shelby Harris NT Al Woods RDE Poona Ford WLB Darrell Taylor LILB Jordyn Brooks RILB Cody Barton SLB Uchenna Nwosu LCB Mike Jackson SS Ryan Neal FS Quandre Diggs RCB Tariq Woolen  #Seahawks  #NFL #NFLTwitter',1113904650107932673
32,seahawks,2022-11-27 19:41:08+00:00,b'Seattle Seahawks Starters On Offense:  QB Geno Smith RB Kenneth Walker III WR DK Metcalf WR Marquise Goodwin WR Tyler Lockett TE Noah Fant LT Charles Cross LG Damien Lewis C Austin Blythe RG Gabe Jackson RT Abraham Lucas  #Seahawks  #NFL #NFLTwitter',1113904650107932673
33,seahawks,2022-11-27 19:40:48+00:00,b'No Sidney Jones IV or Jacob Hollister today for the Raiders.   #Seahawks won\xe2\x80\x99t be facing this pair of former players https://t.co/972dP2iKdc',1268674659433709579
34,seahawks,2022-11-27 19:40:43+00:00,b'The #12s getting plenty of love from the team today @PeteCarroll @GenoSmith3 @dkm14  @KING5Sports #Seahawks #LASvsSEA @king5seattle #HomeOfTheSeahawks  Watch the #5thQuarterShow after @snfonnbc. https://t.co/3X8yB28sXp',20617400
35,seahawks,2022-11-27 19:38:58+00:00,b'OT Abraham Lucas Added To Injury Report With Illness\xe2\x80\xa6. #Seahawks',1168409961975750656
36,seahawks,2022-11-27 19:38:06+00:00,b'#Seahawks inactives https://t.co/Y7HeYOQ0Ac',350995258
37,seahawks,2022-11-27 19:36:51+00:00,"b""@SNFonNBC That's the plan #Seahawks""",987071315654905856
38,seahawks,2022-11-27 19:36:22+00:00,"b'#Seahawks inactives: Penny Hart, Artie Burns, Tony Jones Jr., Teez Tabor, Jake Curhan, Myles Adams  So Abraham Lucas must be good to go and Tre Brown will make his 2022 debut.'",718393346
39,seahawks,2022-11-27 19:36:09+00:00,b'#Raiders RB Josh Jacobs is officially active for today\xe2\x80\x99s game vs. the #Seahawks. #NFL #RaiderNation',1395552062650437635
40,seahawks,2022-11-27 19:35:00+00:00,b'First TD scorers this season in #LVvsSEA   #RaiderNation  - Davante Adams (3)  #Seahawks  - Will Dissly (2) - DK Metcalf (2) - Marquise Goodwin (1)',1582208935754452992
41,seahawks,2022-11-27 19:32:29+00:00,b'Hello #Seahawks https://t.co/PX5B1Giakr',806917118
42,seahawks,2022-11-27 19:32:16+00:00,b'@nflrums The answer to your question is to the end of the season so the #Seahawks can get a Top 5 draft pick.',1253866589499191296
44,seahawks,2022-11-27 19:31:14+00:00,b'@ZacStevensDNVR #Seahawks getting a top 5 draft pick \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',263628731
45,seahawks,2022-11-27 19:30:30+00:00,"b'Tickets now down to $70 to get into Lumen Field for the #Seahawks at @VenueKings! What are you doing on your couch, we need your voice in here! https://t.co/CLBCxJTSAx'",436969094
46,seahawks,2022-11-27 19:30:25+00:00,b'@Seahawks @12s Wooohoooooo!!!  GO HAWKS! #GoHawks #Seahawks',4659660988
47,seahawks,2022-11-27 19:30:00+00:00,b'\xf0\x9f\x9a\xa8 NFL - FREE PLAY \xf0\x9f\x9a\xa8  #RaiderNation v. #Seahawks   Everything bettors need to know prior to kickoff this afternoon in Seattle:\xe2\xac\x87\xef\xb8\x8f https://t.co/BliBGl2Lgc',1366883303270346752
48,seahawks,2022-11-27 19:29:42+00:00,b'@LumenField @Seahawks Get loud 12\xe2\x80\x99s!!!!!! #Seahawks',27843193
49,seahawks,2022-11-27 19:29:27+00:00,"b""LET'S GOOOOO #Seahawks #GameDay   #Vidovodka #Drinklocal #madeinWA https://t.co/fnkDb6SFZZ""",1270567648468688896
50,seahawks,2022-11-27 19:27:53+00:00,b'@Denverberning @Broncos #Seahawks draft yes!!!!',1414985589460398080
51,seahawks,2022-11-27 19:27:42+00:00,"b""Let's get a win today #Seahawks for my dad as it's his 77th birthday and he'll be there. He's been a season ticket holder since the #Kingdome days.  #SeattleSeahawks #NFL""",127404413
52,seahawks,2022-11-27 19:23:00+00:00,"b""It's Seahawks Gameday and @TatsTruck is at @ounceswestseattle from 1-6pm, 3809 Delridge Way SW   #GoHawks #Seahawks #12s https://t.co/FpwDrX7IfC""",1515283950
53,seahawks,2022-11-27 19:22:10+00:00,"b'... OF CORTEZ.  (Worked in the past, so I rolled it out again. \xf0\x9f\x98\x81)  #Seahawks l #LVvsSEA l #LumenField l #NFL https://t.co/qx4QCUrUMO'",1407608503611518978
54,seahawks,2022-11-27 19:19:28+00:00,b'#Seahawks fans seeing Denver losing again and that first-round pick from the Russell Wilson trade getting higher and higher............ https://t.co/tNJTUuXetC',1433441505386000387
55,seahawks,2022-11-27 19:19:21+00:00,b'Good morning! Sun is out!  Great to be back home at @LumenField  @KING5Sports #Seahawks #LASvsSEA @king5seattle #HomeOfTheSeahawks  Watch the #5thQuarterShow after @snfonnbc. https://t.co/pvwwjXT8g5',20617400
56,seahawks,2022-11-27 19:18:24+00:00,"b""@undisputed if the Carolina Panthers beat the Denver broncos I'm going to be tuning in early for this between #skipbayless and Sharpe \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #Seahawks Baker Mayfield beats Russ \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 omg \xf0\x9f\x98\xb1\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 we're really enjoying this""",388066557
