,team,timestamp,tweet_text,userid
0,titans,2022-11-27 16:59:26+00:00,"b'Yea, these two are connecting for a TD today! #Titans https://t.co/FpkFzRLIrG'",1224498256614428673
1,titans,2022-11-27 16:59:07+00:00,b'@PatMcAfeeShow LET\xe2\x80\x99S RIDE #Titans',2989218277
2,titans,2022-11-27 16:58:43+00:00,b'Entering Week 12 (2002):  7\xef\xb8\x8f\xe2\x83\xa38\xef\xb8\x8f\xe2\x83\xa30\xef\xb8\x8f\xe2\x83\xa37\xef\xb8\x8f\xe2\x83\xa3 career rushing yards  7\xef\xb8\x8f\xe2\x83\xa35\xef\xb8\x8f\xe2\x83\xa3 career rushing TDs  #Titans',64825478
3,titans,2022-11-27 16:58:39+00:00,b'Sunday NFL  #Titans  +1 #GoBucs  -3-125 #Seahawks  -4  #SeeYouAtTheWindow\xf0\x9f\x92\xb5 https://t.co/AVA38W2jhb',487030761
4,titans,2022-11-27 16:58:29+00:00,b'Let\xe2\x80\x99s get this win #Titans',1493829134237069314
5,titans,2022-11-27 16:58:10+00:00,b'@ProFootballHOF @Titans The 2009 #NewEnglandPatriots #ForeverNE and their 59-0 win against the #Titans with an 45-0 halftime lead https://t.co/to2QenqkNX',1175844550142844928
7,titans,2022-11-27 16:55:06+00:00,b'#TitanUp #Titans Revenge game https://t.co/Rifodekb17',405704175
9,titans,2022-11-27 16:52:55+00:00,b'Nothing would make my son happier on his 8th birthday than seeing @KingHenry_2 rip off a couple of BIG runs today. #Titans | @Titans',4690142161
10,titans,2022-11-27 16:52:00+00:00,"b'NFL Week 12 betting cheat sheet: How to approach Eagles-Packers, sharps backing Titans #TennesseeTitansFootball #TennesseeTitansFans #Titans #TitanUp https://t.co/He821EK13s'",3038754517
11,titans,2022-11-27 16:51:59+00:00,b'I hope my Titans will beat the Bengals  #Titans',1270807688
12,titans,2022-11-27 16:51:56+00:00,b'#NFLPicks   5u Titans ML -105   Revenge game from last years playoff game! Titans have been clicking on all cylinders and the Bengals are still trying to get healthy with Chase out let\xe2\x80\x99s cash it!!   #GamblingTwitter #NFL #TitanUp #Titans https://t.co/hHapg3r5ml',1208038989225242624
13,titans,2022-11-27 16:49:57+00:00,"b'Ahhh, NFL letting almost entire country see @Titans (red) except us ...well, the game will be on at @LousCityBar! #Titans https://t.co/pplmDhclFf'",1034550302589034497
14,titans,2022-11-27 16:49:46+00:00,b'@eastonfreeze @BroadwayTN @NissanStadium That a Bridgestone tire or #KingHenry walking into #NissanStadium?.?.? #TitanUp #Titans \xe2\x9a\x94\xef\xb8\x8f',627688598
15,titans,2022-11-27 16:48:50+00:00,"b'Treylon Burks, Titans/Razorbacks, 2022 Leaf Metal Draft B-TB1 Purple Refractor RC \xf0\x9f\x87\xac https://t.co/TE0H4fCPOJ #thehobby #whodoyoucollect #collect #footballcards #sportscards #tradingcards #NCAA #NFL #football #collegefootball #Arkansas #Razorbacks #Titans'",7912342
16,titans,2022-11-27 16:48:34+00:00,b'#Titans will have their entire starting secondary active for the first time in 2022 today. https://t.co/PeJz3lGj1M',259493529
17,titans,2022-11-27 16:47:42+00:00,b'#Titans LB \xe2\x81\xa6@David__Long\xe2\x81\xa9 warming up #CINvsTEN https://t.co/n1XPVuuFcm',36692042
19,titans,2022-11-27 16:47:08+00:00,b'Got a great leg. Potentially the #Titans kicker of the future \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbc https://t.co/ah3gowAMz1',975021831580131328
20,titans,2022-11-27 16:46:58+00:00,b'#Titans rookie K Caleb Shudak testing his leg: https://t.co/cJBjhDbmRf',1676520266
22,titans,2022-11-27 16:46:22+00:00,b'LETS GO #TITANS https://t.co/yg4GVA4R0A',988122526743257088
23,titans,2022-11-27 16:45:26+00:00,b'#Titans Caleb Shudak from 47 yds out. https://t.co/ORvmBKTxmS',41814795
24,titans,2022-11-27 16:45:13+00:00,b'We sacking Joe 10x today #Titans',271092085
25,titans,2022-11-27 16:44:21+00:00,b'#Titans kicker @cshudak10 warming up in pregame. \xf0\x9f\x8f\x88 https://t.co/78mISkQg74',41908847
26,titans,2022-11-27 16:43:13+00:00,b'Game day vibes #Titans #RaiderNation  @C_hollister81 @hollister_jacob https://t.co/Rnha1HjwIu',495395429
27,titans,2022-11-27 16:43:10+00:00,b'Let\xe2\x80\x99s go #Titans https://t.co/3tY6DLjSbj',28846995
28,titans,2022-11-27 16:42:42+00:00,b'#unnecessaryroughness call during #LakeTaylor #Phoebus game that led to #fumble recovery for #Titans 2nd qtr #touchdown https://t.co/YeCfAQI0af',1543363090682724352
30,titans,2022-11-27 16:41:00+00:00,b'NFL 2022 Week 12 early inactives: Ja\xe2\x80\x99Marr Chase officially out #TitansFootball #TitansNation #TitanUp #Titans https://t.co/7OPXntSJAG',3038754517
31,titans,2022-11-27 16:39:13+00:00,"b'@KaylaAndersonTV What an thanksgiving we had there! Thanksgiving day three nfl games, Black Friday and yesterday 2 days of College Football and now we end the holiday weekend with the remaining Week 12 NFL games today! #Titans will win!'",157472845
32,titans,2022-11-27 16:39:09+00:00,b'I\xe2\x80\x99ll be co-hosting the Postgame show with @TheChadWithrow today at 4 on @1025TheGame. We will have a full break down of the #Titans game and go around the NFL.',27104113
33,titans,2022-11-27 16:38:35+00:00,b'#Titans inactives https://t.co/C2yoqtjnVV',350995258
34,titans,2022-11-27 16:38:22+00:00,b'@PatMcAfeeShow #FanDuelisREMARKABLE  A-Rod passing yards OVER Mike Evan\xe2\x80\x99s TD  #Titans  +1   Titan Up! https://t.co/NO9NjHnpbt',768831247
35,titans,2022-11-27 16:38:10+00:00,b'Tennessee Titans Starters On Special Teams:  PK Caleb Shudak P Ryan Stonehouse H Ryan Stonehouse PR Robert Woods KR Dontrell Hilliard LS Morgan Cox  #Titans  #NFL #NFLTwitter',1113904650107932673
36,titans,2022-11-27 16:38:09+00:00,b'Tennessee Titans Starters On Defense:  LDE Jeffery Simmons NT Teair Tart RDE DeMarcus Walker WLB Harold Landry III LILB David Long Jr. RILB Dylan Cole SLB Bud Dupree LCB Roger McCreary SS Amani Hooker FS Kevin Byard RCB Kristian Fulton  #Titans  #NFL',1113904650107932673
37,titans,2022-11-27 16:38:09+00:00,b'Tennessee Titans Starters On Offense:  QB Ryan Tannehill RB Derrick Henry WR Nick Westbrook-Ikhine WR Robert Woods WR Treylon Burks TE Austin Hooper LT Dennis Daley LG Dillon Radunz C Aaron Brewer RG Nate Davis RT Nicholas Petit-Frere  #Titans  #NFL',1113904650107932673
38,titans,2022-11-27 16:37:45+00:00,b'@Djtitanup Revenge Game #Titans #TitanUp https://t.co/Mg7VNFs52L',260202030
39,titans,2022-11-27 16:37:37+00:00,b'Tre Avery played well in relief last game. Could be getting another chance today opposite Kristian Fulton in the #Titans secondary https://t.co/7ZNjm8Ulqn',975021831580131328
40,titans,2022-11-27 16:36:47+00:00,"b""Tre Avery and Greg Mabin offer more on special teams than Terrance Mitchell.  But if Fulton's hamstring acts up, if Molden's groin becomes a problem or if McCreary is injured, I'd think you'd want Terrance Mitchell on the field on D ahead of Avery or Mabin. #Titans""",19357128
41,titans,2022-11-27 16:36:15+00:00,b'The wind situation at @NissanStadium 90 minutes to kickoff\xe2\x80\xa6  #Titans https://t.co/5T8bQ5qTnO',2616555896
42,titans,2022-11-27 16:35:50+00:00,b'Got that feelin\xe2\x80\x99 that Treylon Burks\xe2\x80\x99 first NFL today is coming today \xf0\x9f\x91\x80\xe2\x9a\x94\xef\xb8\x8f  #Titans | #TitanUp \xf0\x9f\x99\x8f',1446634671375147013
43,titans,2022-11-27 16:35:39+00:00,b'#Titans inactives\xe2\x80\xa6 https://t.co/qbnv8FZKYi',46939857
44,titans,2022-11-27 16:35:03+00:00,b'Autograph session with NWI for some lucky #Titans fans! https://t.co/fQ1DjBfaK6',1676520266
46,titans,2022-11-27 16:34:36+00:00,b'@KevinByard getting some family time in pregame. #Titans https://t.co/7NpveRHHc8',41814795
47,titans,2022-11-27 16:34:13+00:00,b'Fulton is a go  Ben Jones concussion must be bad.  Expect to see Radunz at LG and Brewer at C again  #Titans https://t.co/rZHnepBdrw',876589239596724229
48,titans,2022-11-27 16:34:10+00:00,b'Tart signing for the people! #Titans https://t.co/lxxXxXi3t1',1676520266
49,titans,2022-11-27 16:34:07+00:00,"b'#Titans inactives for the day include Ben Jones and Terrance Mitchell. Simmons, Fulton, Hooker, Molden all active.  https://t.co/MJC0cMnxQM'",1617752910
50,titans,2022-11-27 16:34:05+00:00,b'The field @NissanStadoum does not look good. #Titans https://t.co/2UGeiQ6cCK',19357128
51,titans,2022-11-27 16:33:24+00:00,b'Chase is out.  That WR corps is still VERY dangerous   #Titans https://t.co/6Wt0rv3Jus',876589239596724229
52,titans,2022-11-27 16:33:12+00:00,"b'#Titans\xc2\xa0inactives: C Ben Jones DL Denico Autry K Randy Bullock DL Larrell Murchison DL Naquan Jones LB Joe Schobert CB Terrance Mitchell  So no Ben Jones after all means OL stays the same as last week, and a big day for Greg Mabin with Mitchell a surprise scratch'",2616555896
53,titans,2022-11-27 16:32:33+00:00,b'Annual Meeting 2022 in Cologne  #Titans #TitanUp #ranNFL https://t.co/FBPYWMj7Jg',952525617051955200
54,titans,2022-11-27 16:32:13+00:00,b'Looks like we\xe2\x80\x99ll get another look at Radunz at LG. Mitchell being out is also unfortunate. He has been quietly solid for the most part. Good thing Fulton and Molden are both ready to go. #Titans https://t.co/w5Dz3Fhmnp',1282436334922215425
55,titans,2022-11-27 16:32:07+00:00,b'No Ben Jones but Kristian Fulton in. I\xe2\x80\x99ll take it #Titans https://t.co/S3AVBZoxU2',1255710734815834112
56,titans,2022-11-27 16:31:55+00:00,b'#Titans Inactives #CINvsTEN https://t.co/zSyx6LMrpT',19383279
57,titans,2022-11-27 16:31:46+00:00,b'Wait i thought Ben Jones was in? #Titans',867934542019018752
58,titans,2022-11-27 16:31:38+00:00,b'Ben Jones didn\xe2\x80\x99t get cleared??? Bummer. #Titans',238219463
59,titans,2022-11-27 16:31:29+00:00,b'#Titans inactives: C Ben Jones DL Denico Autry K Randy Bullock DL Larrell Murchison DL Naquan Jones LB Joe Schobert CB Terrance Mitchell --Jones out again with concussion. --Mabin plays over Mitchell. --Hooker plays first time in 4 games. --Dupree plays first time in 3 games.',116857325
60,titans,2022-11-27 16:31:16+00:00,"b'Could be a big day for CB Tre Avery, with Terrance Mitchell a surprise scratch.  Ben Jones out again. #Titans https://t.co/KIvEW0TEeA'",19357128
61,titans,2022-11-27 16:30:57+00:00,b'No Ben. We get a look at the future one more week. SUPER tough matchup though with the Bengals DL.   No Mitchell. They\xe2\x80\x99re rolling with Avery over him on the depth chart now and that\xe2\x80\x99s a good thing for #Titans fans. https://t.co/KosnsWV1O9',941693097980907520
62,titans,2022-11-27 16:30:38+00:00,b'Ben Jones out for the #Titans  Aaron Brewer starts at C with Dillon Radunz at LG.',972371318
63,titans,2022-11-27 16:30:27+00:00,b'C Ben Jones inactive for the #Titans today vs. Cincinnati',2885262496
65,titans,2022-11-27 16:29:20+00:00,b'Been way too long since the #Titans played. Im ready',116970404
66,titans,2022-11-27 16:29:18+00:00,b'@PaulKuharskyNFL @IE_NFL Would so love it if Vrabel actually said: \xe2\x80\x9cWe gotta YAC better\xe2\x80\x9d \xf0\x9f\x98\x82 #Titans https://t.co/1MX8FhRBsx',1248141483619672065
67,titans,2022-11-27 16:28:59+00:00,b'Let\xe2\x80\x99s Go #Titans \xf0\x9f\x8f\x88\xf0\x9f\x8f\x88\xf0\x9f\x8f\x88 https://t.co/fLGC2omSvb',1472436910467403778
68,titans,2022-11-27 16:28:08+00:00,b'We need this win today #TitanUp #Titans https://t.co/ASfpRIBy7T',550723960
69,titans,2022-11-27 16:27:29+00:00,b'#Titans fam its gameday! Lets turn up for our guys allday! This is it.. we all know its time for some revenge. We are about to beat tf out the bengals! Feed the beast! Let me get a Titanup in the comments! Revenge coming soon! #Titanup #GoTitans #WhoRunIt',1117796173325185025
71,titans,2022-11-27 16:27:06+00:00,b'Join us on @wsmv for #Titans Game Day!!!! https://t.co/mDtwp3oKEY',877377322185314304
72,titans,2022-11-27 16:24:08+00:00,b'@eastonfreeze @NissanStadium sitting lower bowl today. hopefully the wind isn\xe2\x80\x99t as bad down there. always seems really windy at the top.  Henry breaking the rushing record today #Titans   how do i know that? because TITAN UP\xf0\x9f\x91\x91\xe2\x9a\x94\xef\xb8\x8f',988879998
73,titans,2022-11-27 16:23:41+00:00,b'#Titans QBs @ryantannehill1 and @malikwillis throwing to WRs and TEs in pregame warmups. https://t.co/ig5HOe06dq',41908847
74,titans,2022-11-27 16:23:37+00:00,b'Billboard Material #Titans #TitanUp \xe2\x9a\x94\xef\xb8\x8f https://t.co/ljs35M2CmE',401229579
75,titans,2022-11-27 16:23:16+00:00,b'Elijah Molden and Amani Hooker getting loose before today\xe2\x80\x99s #Titans game: https://t.co/QVvr7w684l',1676520266
76,titans,2022-11-27 16:22:45+00:00,b'Elijah Molden and Amani Hooker working the ladder. #Titans https://t.co/aHvjsCPamu',41814795
77,titans,2022-11-27 16:22:18+00:00,b'#Titans QBs @ryantannehill1 and @malikwillis throwing to WRs and TEs in pregame warmups. https://t.co/zW3FA7I1CI',41908847
78,titans,2022-11-27 16:22:05+00:00,"b""Y'all know I'm a #Titans DIE HARD but this look like a JC Penney's Back to School ad. https://t.co/OG6oaaaJfw""",1063341493
79,titans,2022-11-27 16:21:23+00:00,b'Ryan Tannehill getting loose and Austin Hooper nearly ending me. #Titans https://t.co/FgEllggUWV',105147367
80,titans,2022-11-27 16:19:57+00:00,b'I\xe2\x80\x99m very concerned about our kicking situations today. #Titans',4657932021
81,titans,2022-11-27 16:19:00+00:00,b'Player Arrival Photos | 2022 Week 12 vs. Bengals #TitanUp #TitansPhotos #TitansFootball #TitansNation #Titans https://t.co/Ozfukzj6H8',3038754517
82,titans,2022-11-27 16:17:17+00:00,b'@PaulOldenburg5 @Titans Yessir brother #TitanUp #Titans',1033449181179006976
83,titans,2022-11-27 16:17:11+00:00,b'It\xe2\x80\x99s game day for the good guys! #Titans #TitanUp\xe2\x9a\x94\xef\xb8\x8f #LFG https://t.co/nIg1fCkEE6',393746364
84,titans,2022-11-27 16:17:09+00:00,b'Don\xe2\x80\x99t call it a revenge game!  #Titans &amp; Bengals from Nissan Stadium kicks off at 12pm CST. https://t.co/IQwsOhfxEm',2885262496
85,titans,2022-11-27 16:15:38+00:00,"b'Is Ryan Tannehill thinking about revenge, or is this just a normal game to him? \xf0\x9f\xa4\x94 #Titans https://t.co/5REynDlana'",877377322185314304
86,titans,2022-11-27 16:14:40+00:00,b'@AtoZSports The Rookie Kicker on the biggest match of the year!! #Titans #CINvsTEN',558965144
87,titans,2022-11-27 16:13:56+00:00,b'Titans: RT @NFLonCBS: Let\xe2\x80\x99s talk #Titans  It\xe2\x80\x99s a takeover! The @Titans Edition with special guests Kevin Byard and Jeffery Simmons. https://t.co/cL8fX1BKRl Go Titans!!!',14082036
88,titans,2022-11-27 16:11:42+00:00,"b'We ain\xe2\x80\x99t the Jags or Jets or Browns, why t f so many of you worried about power ranking and point spreads???? Vrabel JRob and Ms Amy brought this thing up. Only thing that matters is Ws and Ws in January and eventually February. Quit cryin and #TitanUp #Titans'",1213361591057387520
90,titans,2022-11-27 16:09:11+00:00,b'Love the city of Cincy but Titan the fuck up! #Titans #revenge',609742746
91,titans,2022-11-27 16:06:52+00:00,b'What\xe2\x80\x99s your lock of the day #Titans prop? \xf0\x9f\x91\x80\xf0\x9f\x94\x92',1446634671375147013
92,titans,2022-11-27 16:06:29+00:00,b'The wind at Nissan Stadium is no joke today. Will definitely be a major factor in the kicking game.   #Titans kicker Caleb Shudak has his work cut out for him in his NFL debut.',2885262496
93,titans,2022-11-27 16:05:06+00:00,b'Christmas with King Henry! \xf0\x9f\x91\x91 #Titans Star #DerrickHenry \xf0\x9f\x8f\x88 https://t.co/EQP2AgEmxh',1354863685785817092
94,titans,2022-11-27 16:04:01+00:00,b'#JustWatched episode S04E02 of Titans! #Titans https://t.co/jWQ3n9fwcI #Simkl',15192541
96,titans,2022-11-27 16:01:47+00:00,b'Game day \xe2\x9a\x94\xef\xb8\x8f #Titans #CINvsTEN https://t.co/LQs1oJ7DR1',718519508156203010
97,titans,2022-11-27 16:00:35+00:00,b'Reckoning day! #Titans https://t.co/WV8n7xFtEk',23870435
98,titans,2022-11-27 15:59:01+00:00,"b'With #Titans coach Mike Vrabel on today\'s ""revenge"" game and his QB. https://t.co/0B3Gu5AScR'",105147367
99,titans,2022-11-27 15:58:11+00:00,b'Titan up by god! #Titans #TitanUp https://t.co/W53NnuF8yJ',219347406
100,titans,2022-11-27 15:57:56+00:00,b'Lock the gates \xf0\x9f\x98\xa4 #Titans https://t.co/H9Ab3HdgBE',66052393
101,titans,2022-11-27 15:57:12+00:00,b'READY FOR TODAY! LETS GOOOOO #TITANS',1489261438010998792
102,titans,2022-11-27 15:57:01+00:00,"b'What TV channel is Bengals-Titans on today? Live stream, time, how to watch online #TennesseeTitansFootball #TennesseeTitansFans #Titans #TitanUp https://t.co/Y3moxd91Am'",3038754517
103,titans,2022-11-27 15:56:21+00:00,"b""IT'S TIME TO TITAN UP!!! SEEMS LIKE A GOOD DAY FOR SOME REVENGE! #Titans""",1171549668943249415
104,titans,2022-11-27 15:55:25+00:00,"b'I wanted to tweet a lot about superheroes before #Titans game today, when that starts sorry superhero twitter you may want to mute me during that time. I like to retweet a lot during that time about details I may have missed or just info I like.'",536354491
105,titans,2022-11-27 15:55:03+00:00,b'It\xe2\x80\x99s Gameday!   Here is what happened during @joehunk\xe2\x80\x99s Gamer Zone preview on Wednesday night to help get you ready for today\xe2\x80\x99s game!   #videogames #gamer #madden23 #madden #nfl #nashville #Titans #TitanUp https://t.co/GPUOKHMSpw',36692042
106,titans,2022-11-27 15:54:15+00:00,"b'Easy like Sunday Morning! and finally, an outside day game! #Tennessee #Titans #APImages #NFL #mycanonstory #NissanStadium #cocreatewithcanon #sandiskextremeteam #yesididtakethisimageandeveryimageonmyinstagram https://t.co/5jYx8Ohma9'",340121448
107,titans,2022-11-27 15:51:42+00:00,"b'Pre-game Poll: #Titans fans, is today a revenge game for you? #CINvsTEN'",36692042
108,titans,2022-11-27 15:51:00+00:00,"b'I\'m watching Titans 4x05 ""Inside Man"" https://t.co/yqNKwdTvoH #Titans #trakt'",129593664
110,titans,2022-11-27 15:48:45+00:00,"b'@BeerlyFootball #Titans , Washington &amp; #Eagles'",451844354
111,titans,2022-11-27 15:47:33+00:00,b'#Titans HC Mike Vrabel having a pregame chat with @Bengals QB Joe Burrow. Vrabel then introduces his son @cv1and_only to @JoeyB. https://t.co/hq4v5XaG0b',41908847
112,titans,2022-11-27 15:46:17+00:00,b'#Titans Jeffery Simmons arrival at @NissanStadium https://t.co/aykihJXqmH',41814795
113,titans,2022-11-27 15:46:14+00:00,b'Big Jeff with a big smile this morning! #Titans https://t.co/ab7i0cQ1Ya',1676520266
114,titans,2022-11-27 15:46:00+00:00,b'Reacts Results: Titans fans confidence on the rise again #TitansFootball #TitansNation #TitanUp #Titans https://t.co/nTXli1YvUQ',3038754517
115,titans,2022-11-27 15:45:58+00:00,b'3 \xf0\x9f\x90\xb6 this week for #NFLBets.  #Titans at home in a revenge spot is my biggest bet in quite some time.  I got +125 but that number is long gone after the Chase news.  Take em \xf0\x9f\x92\xb4 line.  #ATL +4 and #JAX +4 are my other two picks\xe2\x80\xa6. Good luck everyone!!',25013277
116,titans,2022-11-27 15:45:57+00:00,b'The Titans are a NFL best 8-2 ATS   Titans (+1.5) host Bengals Today \xf0\x9f\x8f\x88   #Titans #NFL #NFLTwitter https://t.co/pw5U6NvT9n',1121068210781073409
117,titans,2022-11-27 15:42:19+00:00,b'Revenge game. #Titans https://t.co/G5Np4wMwKg',843619517708275713
118,titans,2022-11-27 15:42:18+00:00,"b'@JesperElming @jimmyboejgaard @TV2SPORTdk Let\xe2\x80\x99s go, #Titans'",471507946
119,titans,2022-11-27 15:40:56+00:00,b'Titans in a blowout\xf0\x9f\x94\xa5 #Titans #RevengeGame \xe2\x9a\x94\xef\xb8\x8f https://t.co/3yLXFAKizn',522498806
120,titans,2022-11-27 15:40:54+00:00,"b""Let's g get this dub! I know Ima hold it down in Section 131! #Titans #Titanup #LotBGang https://t.co/RcHJRR4j5w""",497931902
121,titans,2022-11-27 15:40:21+00:00,b'Revenge edition #Titans https://t.co/aapEaQ7uXk',1255710734815834112
122,titans,2022-11-27 15:40:06+00:00,"b'@DrJustinMTurner Appreciate you Justin! Because of you, two more #Titans fans are coming with us to support today!'",464293992
123,titans,2022-11-27 15:39:37+00:00,b'Amani Hooker making his #Titans return this afternoon! https://t.co/JkwP20fQIU',1676520266
124,titans,2022-11-27 15:37:32+00:00,b'Wake up this morning feeling like it\xe2\x80\x99s time to\xe2\x80\xa6.. #Titans https://t.co/fhn1LI61Ze',39906694
125,titans,2022-11-27 15:35:55+00:00,b'Should I go in and get a prediction for the Titans/Bengals game today? #Titans https://t.co/5uIoBaqWxg',915781529137287168
126,titans,2022-11-27 15:35:30+00:00,b'I will give my all for the #Titans today https://t.co/NPabns76M0',379512356
127,titans,2022-11-27 15:35:00+00:00,b'Week 12 NFL picks and predictions #TitansFootball #TitansNation #TitanUp #Titans https://t.co/wXwMRubOv0',3038754517
128,titans,2022-11-27 15:34:22+00:00,b'Bud Dupree is ready to work! #Titans https://t.co/SKWbU48U1y',1676520266
129,titans,2022-11-27 15:32:04+00:00,b'We are off and rolling on The NFL Pregame Show live from Sonny\xe2\x80\x99s Patio Pub &amp; Refuge:  Join @JaredStillman &amp; Chris Sanders as they breakdown and discuss the #Titans-Bengals game. @TDavenport_NFL will join the program at 10:45am.  https://t.co/FdqjiMfIhS',342918897
130,titans,2022-11-27 15:30:50+00:00,b'Welp if you see me running through a brick wall..mind yo business! It\xe2\x80\x99s GAMEDAY #Titans #TitanUp https://t.co/V8lLh4gTpU',2534594715
131,titans,2022-11-27 15:28:58+00:00,"b""It's a revenge game. There is no debate. Titan the fuck up #Titans""",66819091
132,titans,2022-11-27 15:28:03+00:00,"b'Other needs aside, I need this like I need air to breathe. #Titans https://t.co/TmJjVPrqYd'",1281617634807742465
133,titans,2022-11-27 15:28:03+00:00,b'Two tickets to the titans game today. Plz DM if interested.  #Titans  #NFL',168933840
