,team,timestamp,tweet_text,userid
0,49ers,2022-12-11 20:24:45+00:00,b'About an hour until the world sees what Big Cock Brock can do for the Niners!#FTTB',36480976
1,49ers,2022-12-11 20:24:41+00:00,b'Getting close #FTTB ARE YOU READY!!!! https://t.co/liK0yhhulQ',1439281292269477891
2,49ers,2022-12-11 20:24:41+00:00,b'#49ersgameday #fttb Let\xe2\x80\x99s go Niners!!! https://t.co/jaSH4wD0CD',1602035427354943488
3,49ers,2022-12-11 20:24:24+00:00,b'Let\xe2\x80\x99s get it!!! #FTTB https://t.co/WYU4aSl8m0',1493034142975414274
4,49ers,2022-12-11 20:24:24+00:00,"b""Cheers let's get this DUB #49ERS #FTTB https://t.co/idtDIM30p8""",1553157688686628864
5,49ers,2022-12-11 20:24:19+00:00,b'12/1 betbuilder as promised for late game #NFL #NFLTips #NFLTwitter #NFLPicks #bet365 #FTTB #GoBucs https://t.co/5rbaXANh4u',1494047641004650501
6,49ers,2022-12-11 20:24:05+00:00,"b""Who's ready for football today?!?!?! Go niners!!!!! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b #FTTB #TBvsSF""",776809633
7,49ers,2022-12-11 20:23:56+00:00,b'From Vancouver Canada we here! #FTTB https://t.co/kbOEBZb90W',1335779316261478400
8,49ers,2022-12-11 20:23:32+00:00,b'Let\xe2\x80\x99s go Niners!! #FTTB https://t.co/TGJXxIBRFn',215802616
9,49ers,2022-12-11 20:23:19+00:00,b'Listen for Niner Empire Desert West loud and proud in your gold miner section!!!!!  #FTTB #letsgoooooo https://t.co/2HZZ9HsqHt',143587185
