,team,timestamp,tweet_text,userid
0,giants,2022-12-18 16:56:54+00:00,b'@SiriusXMFantasy Start Barkley or McClarin in my flex in ppr?\xf0\x9f\xa4\x94 @rotobuzzguy @JamesAdams94 @TheRayFlowers #TogetherBlue #HTTC https://t.co/w2a9BlkRXt https://t.co/9XLuSL92Za',43241202
1,giants,2022-12-18 16:55:46+00:00,"b""If this doesn't fire up the Giants, nothing will. Powerful stuff from LT! #TogetherBlue  https://t.co/tLZlZ6qUs2""",126960976
2,giants,2022-12-18 16:54:52+00:00,b'Our picks for game of the week #15 @Giants vs @Commanders #TogetherBlue #HTTC #NYGvsWAS #NFLTwitter https://t.co/pw2xGIF1vG',1400136996215943170
3,giants,2022-12-18 16:53:49+00:00,"b""Hope he helps the team tonight somehow. Doesn't matter if it's Santa, grinch or Scrooge, we need all the help we  can get.  Cheers guys, good luck today. #TogetherBlue https://t.co/0ok0bxgV3Z""",157505691
4,giants,2022-12-18 16:52:45+00:00,"b""Don't even care about the #ArgentinaVsFrance #WorldCupFinal .  Waiting on NY #Giants and #Knicks games.  #TogetherBlue\xe2\x80\xaf\xe2\x80\xaf\xe2\x80\xaf #NewYorkForever""",2746065162
5,giants,2022-12-18 16:50:09+00:00,"b'Game Day! This is a December playoff game! We stink in prime time so what a better time to change that. They got embarrassed last Sunday and the media says we don\xe2\x80\x99t belong, prove them wrong when the whole world is watching!#TogetherBlue'",1579275116
6,giants,2022-12-18 16:50:05+00:00,b'Sunday afternoon shift\xe2\x80\xa6 Time to enjoy the days\xe2\x80\x99 action while patiently waiting for @carrieunderwood to lead us into Sunday night. #TogetherBlue #NFL',836395874
7,giants,2022-12-18 16:49:38+00:00,"b""I guess you could say tonight's game is really important.  It is nice to have a meaningful football game in December for the first time in 6 years. #TogetherBlue https://t.co/vpIxlyfHUc""",50772911
8,giants,2022-12-18 16:47:03+00:00,b'TheGiantsWire: Biggest game since 2016. #TogetherBlue https://t.co/xrLGpAHfbL',759986191844438016
9,giants,2022-12-18 16:47:00+00:00,"b""2016: HBD @DSkinner__11 who turns 32. He signed w/ #NYGiants as a free agent in 2016 &amp; played w/ NYG for 2 seasons mainly as a LB/special teamer. After @obj TD to take the lead on Dallas, he kept the momentum going w/ a big stop on a Dunbar's kick return #TogetherBlue https://t.co/VMNOl1WRpA""",3383721814
10,giants,2022-12-18 16:45:39+00:00,"b""Who's ready for some football action tonight? \xf0\x9f\x8f\x88 The Commanders vs. Giants same-game parlay is currently +571! See How To Bet This Parlay Here: https://t.co/PgFuSDdmB6 \xf0\x9f\x94\xa5 Don't miss out on this opportunity to cash in big. #Commanders #Giants #SameGameParlay #Football #Betting https://t.co/0QBsMwg7Mq""",1288823827611504640
11,giants,2022-12-18 16:43:27+00:00,"b""Who's ready for some football action tonight? \xf0\x9f\x8f\x88 The Commanders vs. Giants same-game parlay is currently +571! See How To Bet This Parlay Here: https://t.co/TvooW3NHvt \xf0\x9f\x94\xa5 Don't miss out on this opportunity to cash in big. #Commanders #Giants #SameGameParlay #Football #Betting https://t.co/3qbf0dcqpz""",1587400636001406977
12,giants,2022-12-18 16:43:20+00:00,b'GAMEDAY: Win or die!  BELIEVE in it!  https://t.co/LjZo0sAEN0  #GIANTS #NYGIANTS #TOGETHERBLUE #BLEEDBLUE #GMEN #NYGVSWAS',171376447
13,giants,2022-12-18 16:41:35+00:00,b'Mood #TogetherBlue https://t.co/MXCP16KbFu',22815722
14,giants,2022-12-18 16:38:56+00:00,b'@DanielJonesMVP Best greetings from Germany #TogetherBlue https://t.co/DYlpOcVcNU',1107644195777454081
15,giants,2022-12-18 16:38:15+00:00,b'@NYG_Nation10 Just win baby!   #TogetherBlue',2920574746
16,giants,2022-12-18 16:36:33+00:00,"b""Biggest game for the Giants in what feels like years tonight. I truly don't know how to feel. So many emotions but truly just want to see this team rise up after a rough few weeks and leave it all on the field.  LETS FUCKING GOOOOOOOO  #TogetherBlue https://t.co/gXrRjfqmDp""",2604461762
17,giants,2022-12-18 16:33:31+00:00,b'If Daboll wants to truly make this a \xe2\x80\x9cMake or Break\xe2\x80\x9d Game for the team\xe2\x80\xa6he truly needs to go to the bag of tricks and balls that made him go for that 2-Point Conversion against the Titans  The time is now that this team grabs destiny and sprints to the Playoffs #Giants #NYGvsWAS',1203549650940256257
18,giants,2022-12-18 16:33:27+00:00,b'We need these 4 to wreck todays game. It\xe2\x80\x99s time. #Giants https://t.co/OE7V7MggY3',1101238958854455297
19,giants,2022-12-18 16:32:23+00:00,b'@RapSheet Must be afraid of Mr. Andrew Thomas!   #TogetherBlue https://t.co/aiqLcEup8m',2920574746
20,giants,2022-12-18 16:30:03+00:00,"b'With a win tonight, the #Giants will take over the 6th seed in the NFC and own the tiebreaker over WAS. Should they lose, they will remain in the 7th spot - for another week at least.'",45836307
21,giants,2022-12-18 16:29:00+00:00,"b""NOT 'GOOD' ENOUGH ...  #Commanders DE Chase Young In 'Good Place,' But OUT vs. #Giants? https://t.co/YBvi4Tjgg2 via @CommandersFN https://t.co/I8DRaOfco9""",26033708
22,giants,2022-12-18 16:28:01+00:00,b'Top of the morning #BlessingsToAll #RiseNGrind #WakeNBake #FootBallSunday #TogetherBlue #StaySafe #PositiveVibesOnly #AnotherDayAnotherDollar \xf0\x9f\x92\xaf\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x92\xb0',1093672999503495170
23,giants,2022-12-18 16:26:21+00:00,b'The season is on the line today and Daniel Jones is our quarterback #Giants https://t.co/zg6uP6acUn https://t.co/JsslJ4vXbd',163544534
