team,week,rows_initial,rows_removed,rows_remaining
49ers,12,2749,35,2714
bears,12,2345,18,2327
bengals,12,2079,28,2051
broncos,12,1609,9,1600
browns,12,2616,19,2597
buccaneers,12,1229,10,1219
cardinals,12,315,9,306
chargers,12,1075,20,1055
chiefs,12,2572,24,2548
colts,12,1876,55,1821
commanders,12,1560,97,1463
dolphins,12,4202,19,4183
eagles,12,3589,23,3566
falcons,12,900,10,890
jaguars,12,711,3,708
jets,12,3373,18,3355
packers,12,2838,35,2803
panthers,12,384,4,380
raiders,12,2574,34,2540
rams,12,1202,17,1185
ravens,12,43364,2,43362
saints,12,1188,146,1042
seahawks,12,1032,152,880
steelers,12,3705,15,3690
texans,12,1250,11,1239
titans,12,1484,188,1296
49ers,13,3500,59,3441
bears,13,2597,5,2592
bengals,13,2986,12,2974
bills,13,4995,57,4938
broncos,13,2478,11,2467
browns,13,3534,11,3523
buccaneers,13,1984,56,1928
chargers,13,1430,22,1408
chiefs,13,2860,8,2852
colts,13,1061,12,1049
commanders,13,2066,167,1899
cowboys,13,3102,27,3075
dolphins,13,4992,296,4696
eagles,13,3574,41,3533
falcons,13,981,22,959
giants,13,2621,34,2587
jaguars,13,878,3,875
jets,13,3598,55,3543
lions,13,2131,7,2124
packers,13,2753,8,2745
patriots,13,2386,5,2381
patriots,13,2395,5,2390
raiders,13,3068,39,3029
rams,13,1232,24,1208
ravens,13,645,7,638
saints,13,1726,50,1676
seahawks,13,984,136,848
steelers,13,3141,9,3132
texans,13,1080,4,1076
titans,13,2116,250,1866
vikings,13,3576,41,3535
49ers,14,3819,47,3772
bengals,14,2498,11,2487
bills,14,4995,26,4969
broncos,14,2291,21,2270
browns,14,3369,11,3358
buccaneers,14,1914,242,1672
cardinals,14,1565,38,1527
chargers,14,1870,85,1785
chiefs,14,2072,10,2062
cowboys,14,3255,27,3228
dolphins,14,4749,69,4680
eagles,14,4286,43,4243
giants,14,2730,43,2687
jaguars,14,886,10,876
jets,14,2260,11,2249
lions,14,2734,49,2685
panthers,14,1335,18,1317
patriots,14,2051,28,2023
raiders,14,4994,72,4922
rams,14,2921,76,2845
ravens,14,841,18,823
seahawks,14,1106,105,1001
steelers,14,3429,19,3410
texans,14,1076,4,1072
titans,14,2104,190,1914
vikings,14,3313,14,3299
49ers,15,7990,73,7917
bears,15,2368,13,2355
bengals,15,3019,16,3003
bills,15,7998,80,7918
broncos,15,2123,14,2109
browns,15,3289,8,3281
buccaneers,15,1545,21,1524
cardinals,15,1134,7,1127
chiefs,15,2380,12,2368
colts,15,1270,27,1243
commanders,15,2513,181,2332
cowboys,15,3177,51,3126
dolphins,15,4798,12,4786
eagles,15,4675,52,4623
falcons,15,1065,23,1042
giants,15,2246,36,2210
jaguars,15,1068,2,1066
jets,15,4167,25,4142
lions,15,3133,29,3104
panthers,15,1796,30,1766
ravens,15,710,13,697
saints,15,889,3,886
seahawks,15,2610,619,1991
steelers,15,3133,14,3119
texans,15,1150,11,1139
titans,15,900,71,829
vikings,15,3662,18,3644
49ers,16,3494,38,3456
bears,16,2684,12,2672
bengals,16,3370,7,3363
bills,16,7993,24,7969
broncos,16,2179,11,2168
browns,16,3544,17,3527
buccaneers,16,1475,8,1467
cardinals,16,931,8,923
chargers,16,2032,14,2018
chiefs,16,3371,22,3349
colts,16,1474,50,1424
commanders,16,2346,264,2082
cowboys,16,3756,82,3674
dolphins,16,3941,10,3931
eagles,16,5887,17,5870
falcons,16,865,3,862
giants,16,3396,41,3355
jaguars,16,3871,64,3807
jets,16,4567,22,4545
lions,16,3102,9,3093
packers,16,3107,33,3074
panthers,16,1262,4,1258
patriots,16,3162,30,3132
raiders,16,3342,75,3267
rams,16,780,12,768
ravens,16,942,8,934
saints,16,1097,3,1094
seahawks,16,1090,124,966
steelers,16,6054,69,5985
texans,16,1151,12,1139
titans,16,2744,248,2496
vikings,16,4571,29,4542
49ers,17,3577,65,3512
bears,17,2338,8,2330
broncos,17,2790,12,2778
browns,17,2825,7,2818
buccaneers,17,1712,9,1703
cardinals,17,910,8,902
chargers,17,3061,28,3033
chiefs,17,2816,13,2803
colts,17,1543,21,1522
commanders,17,1902,157,1745
cowboys,17,4774,103,4671
dolphins,17,3928,19,3909
eagles,17,4194,20,4174
falcons,17,702,6,696
giants,17,2718,16,2702
jaguars,17,1457,9,1448
jets,17,2805,35,2770
lions,17,1776,5,1771
packers,17,3876,65,3811
panthers,17,1872,17,1855
patriots,17,2398,24,2374
raiders,17,7992,248,7744
rams,17,1444,28,1416
ravens,17,627,10,617
saints,17,1302,11,1291
seahawks,17,1125,85,1040
steelers,17,3289,10,3279
texans,17,1229,7,1222
titans,17,2770,215,2555
vikings,17,3892,9,3883
49ers,18,3205,17,3188
bears,18,3115,24,3091
bengals,18,5545,8,5537
bills,18,7993,61,7932
broncos,18,2611,24,2587
browns,18,4300,25,4275
buccaneers,18,1461,3,1458
cardinals,18,1058,109,949
chargers,18,1564,9,1555
chiefs,18,4726,42,4684
colts,18,1303,9,1294
commanders,18,2061,192,1869
cowboys,18,2993,39,2954
dolphins,18,4476,30,4446
eagles,18,4527,52,4475
falcons,18,805,3,802
giants,18,2826,52,2774
jaguars,18,4513,58,4455
jets,18,3212,36,3176
lions,18,5233,37,5196
packers,18,5136,24,5112
panthers,18,1222,8,1214
patriots,18,2712,6,2706
raiders,18,3812,33,3779
rams,18,1136,19,1117
ravens,18,904,7,897
saints,18,1175,8,1167
seahawks,18,1162,93,1069
steelers,18,4476,12,4464
texans,18,1162,6,1156
titans,18,2297,207,2090
vikings,18,2702,15,2687
